gml_id,name,latitude,longitude
STA_ES1672A,EL CIEGO,42.51833333,-2.61944444
STA_ES1349A,LLODIO,43.14407,-2.96337
STA_ES1350A,ARETA,43.14805555,-2.94333333
STA_ES1544A,AGURAIN,42.849,-2.3937
STA_ES1489A,VALDEREJO,42.8752,-3.2317
STA_ES1502A,AVENIDA GASTEIZ,42.8548,-2.6807
STA_ES1492A,TRES MARZO,42.85607,-2.66779
STA_ES1673A,LOS HERRAN,42.84361111,-2.66138888
STA_ES1594A,LANTARÓN,42.7151,-2.98087
STA_ES1535A,ALBACETE,38.9793,-1.8521
STA_ES2138A,ALBACETE - PARQUE TECNOLOGICO,38.9808,-1.8452
STA_ES1847A,AGOST,38.4360614,-0.6380406
STA_ES1623A,ALCOI - VERGE DELS LLIRIS,38.70638888,-0.46694444
STA_ES1635A,ALACANT-EL PLÁ,38.35944444,-0.47194444
STA_ES1915A,ALACANT-FLORIDA-BABEL,38.34027777,-0.50666666
STA_ES1968A,ALACANT - RABASSA,38.35111111,-0.51388888
STA_ES1675A,BENIDORM,38.57138888,-0.14666666
STA_ES1624A,ELX-AGROALIMENTARI,38.24222222,-0.68277777
STA_ES1849A,ELX-PARC DE BOMBERS,38.25916666,-0.7175
STA_ES1914A,ELDA-LACY,38.45472222,-0.80333333
STA_ES1677A,ORIHUELA,38.08472222,-0.85277777
STA_ES1913A,EL PINÓS,38.45166666,-1.06472222
STA_ES1787A,SANT VICENT DEL RASPEIG,38.39722222,-0.5275
STA_ES2008A,TORREVIEJA,37.99111111,-0.69
STA_ES2144A,VILLENA PARQUE FERIA,38.63943,-0.87241
STA_ES1393A,MEDITERRÁNEO,36.84133,-2.44672
STA_ES1786A,EL BOTICARIO,36.86495,-2.3905
STA_ES2181A,PUERTO DE ALMERÍA,36.8368,-2.4779
STA_ES1996A,BÉDAR,37.192993,-1.979079
STA_ES1785A,BENAHADUX,36.9231,-2.46322
STA_ES0620A,CARBONERAS,36.99945,-1.89201
STA_ES1845A,PZA. DEL CASTILLO,36.9968,-1.8954
STA_ES2067A,LLANO DE DON ANTONIO,37.0047,-1.9344
STA_ES1546A,VILLARICOS,37.2522,-1.7708
STA_ES1547A,PALOMARES,37.255,-1.7817
STA_ES2179A,VILLARICOS CC,37.2661,-1.7699
STA_ES2040A,MOJÁCAR,37.1388,-1.8422
STA_ES0624A,RODALQUILAR,36.84745,-2.03819
STA_ES0625A,CAMPOHERMOSO,36.93385,-2.12819
STA_ES1835A,LA JOYA,36.95,-1.96148
STA_ES2026A,FERNÁN PÉREZ,36.8951,-2.0467
STA_ES2066A,LA GRANATILLA,36.9581,-2.1592
STA_ES1549A,EL EJIDO,36.76972,-2.81097
STA_ES2029A,ÁVILA 2,40.66472,-4.70083
STA_ES1601A,BADAJOZ,38.887586,-7.011389
STA_ES0011R,BARCARROTA,38.47278,-6.923333
STA_ES2110A,BURGUILLOS DEL CERRO,38.370314,-6.588646
STA_ES2111A,JEREZ DE LOS CABALLEROS,38.326558,-6.757417
STA_ES2112A,MEDINA DE LAS TORRES,38.338973,-6.415479
STA_ES1819A,MERIDA,38.906223,-6.339232
STA_ES1820A,ZAFRA,38.42795,-6.397348
STA_ES1093A,S'ALBUFERA,39.791167,3.07525
STA_ES1517A,ALCUDIA I,39.834823,3.145432
STA_ES1827A,HOSPITAL JOAN MARCH,39.678833,2.687778
STA_ES1828A,CIUTADELLA DE MENORCA,40.010611,3.857583
STA_ES2065A,MENUT,39.83025,2.900722
STA_ES1246A,CAN MISSES,38.915028,1.415417
STA_ES1247A,DALT VILA,38.907194,1.434889
STA_ES2157A,SA BLANCA DONA,38.92324,1.425888
STA_ES1094A,SANT LLUIS,39.8749,4.2586
STA_ES1095A,POUS,39.890917,4.252972
STA_ES2092A,PORT DE MAO,39.892589,4.257031
STA_ES0006R,MAHÓN,39.876111,4.323889
STA_ES2171A,SON AMETLER,39.612,2.7264
STA_ES1610A,FONERS,39.57125,2.657028
STA_ES1604A,BELLVER,39.564528,2.621694
STA_ES1829A,UIB-PARC BIT,39.635556,2.648056
STA_ES1994A,LA MISERICÒRDIA,39.574389,2.647611
STA_ES1995A,SANT JOAN DE DÉU,39.547694,2.701111
STA_ES2156A,SON LLATZER,39.5727,2.7031
STA_ES1518A,CAN LLOMPART,39.8408,3.0282
STA_ES0296A,SA POBLA,39.748472,3.016
STA_ES1825A,SANT ANTONI DE PORTMANY,38.994389,1.310139
STA_ES1831A,TORRENT-SANTA EULALIA,38.935803,1.432908
STA_ES2088A,AIGUAFREDA (CAN BELLIT),41.7711,2.2507
STA_ES2194A,AIGUAFREDA (CAN BELLIT),41.7711,2.2507
STA_ES1892A,BADALONA (MONT-ROIG - AUSIÀS MARCH),41.443983561,2.237875306
STA_ES1928A,BADALONA (GUÀRDIA URBANA),41.4463,2.2275
