feature,random_forest_importance,logistic_abs_mean_coefficient
latitude,0.0698238046682604,0.22926673227910832
longitude,0.0674501874562041,0.3503783665534439
capture_dayofyear,0.06404917092198692,0.1540371539379124
official_station_distance_km,0.06314956317545667,0.17374232271628692
official_pm25_minus_record_pm25,0.060957450256796795,0.07278539150609428
official_pm10_minus_record_pm10,0.060468712023229364,0.07298728193744944
abs_pm25_gap,0.0596751212766284,0.23935643149931768
record_pm25,0.05928534558352239,0.06595215515233312
record_pm_total,0.058992904022669046,0.06595215515233312
abs_pm10_gap,0.058964956800374,0.3339746738470951
record_pm10,0.05868342282105598,0.06595215515233312
capture_weekday,0.03115097828577643,0.03785581526296773
official_pm25,0.027222227645928604,0.11293647862551064
official_pm10,0.02630256841951417,0.08425043264042038
official_pm25_to_pm10_ratio,0.025399225082268807,0.18099835647287577
capture_year,0.023273250405625213,0.4259877319211212
official_pm_total,0.0221427476463002,0.09361066148130691
capture_month,0.021437064525763518,0.2535258454751654
station_distance_band=3_to_10km,0.0072186782765612315,0.17965672132435687
station_distance_band=1_to_3km,0.007042020163827064,0.06566834059592387
station_distance_band=under_1km,0.0067195920102246336,0.14573704059489012
capture_season=spring,0.006244522797159504,0.048171216678750226
capture_season=winter,0.0054357204081791665,0.08258173271522926
official_station_id=STA_ES1244A,0.004661971583704225,0.23448648692087398
official_station_id=STA_ES1378A,0.004360036367474463,0.14602174547081567
official_station_id=STA_ES2173A,0.004304889350711108,0.25358065472794905
station_distance_band=over_10km,0.004224424188258842,0.2491206530643422
official_pm10_band=low,0.004143210823784421,0.10352529288191614
official_pm25_band=moderate,0.0040742140217637874,0.0800389856645921
official_pm25_band=low,0.004004263536105127,0.08003898566459103
official_station_id=STA_ES0041A,0.003983538096117006,0.25720616066329444
official_pm10_band=moderate,0.0038764385095867633,0.10352529288191491
official_station_id=STA_ES1037A,0.0037742301038479775,0.1556661062554931
official_station_id=STA_ES1868A,0.0035133733249890532,0.24141647524892926
official_station_id=STA_ES1621A,0.0033633804222552594,0.13569189412746543
official_station_id=STA_ES1580A,0.0031244631688567047,0.255012173195995
official_station_id=STA_ES1569A,0.0028497973155213836,0.128470627701847
capture_season=autumn,0.00280916409672027,0.2758878271062756
official_station_id=STA_ES1593A,0.0022234031561110122,0.3254293813181597
official_station_id=STA_ES1633A,0.002072636223343384,0.17217759285182455
official_station_id=STA_ES1346A,0.001978175114251571,0.14176390172130088
official_station_id=STA_ES0333A,0.0018542566189938966,0.11693248133356679
official_station_id=STA_ES1818A,0.0017596662536612366,0.2514987099929052
official_station_id=STA_ES2103A,0.0015713094004822295,0.08625265680643357
official_station_id=STA_ES2129A,0.0015573224593761373,0.07435426419332158
official_station_id=STA_ES2058A,0.001526638686257646,0.06189772079946301
official_station_id=STA_ES1598A,0.0014647937512530683,0.07002773589994496
official_station_id=STA_ES0905A,0.0014108379004223427,0.17809357715116977
official_station_id=STA_ES0104A,0.0012550143287554541,0.31963790607363163
official_station_id=STA_ES1387A,0.0012239569419710784,0.1264485379011496
official_station_id=STA_ES1650A,0.001105215759364843,0.16155540426735904
official_station_id=STA_ES0805A,0.0010885178630771568,0.10450419588425514
official_station_id=STA_ES1836A,0.0009980559841684627,0.0667706855708853
official_station_id=STA_ES0110A,0.0009778818277525565,0.17790845509874526
official_station_id=STA_ES1163A,0.0009610932381352899,0.17972295951568903
official_station_id=STA_ES1894A,0.0009220420299372654,0.13592686500116932
official_station_id=STA_ES1747A,0.0009192364631977004,0.11744943268177349
official_station_id=STA_ES1268A,0.0008897590819221664,0.1410873457170001
official_station_id=STA_ES1578A,0.0008638873621681686,0.13065067603818892
official_station_id=STA_ES1641A,0.0008637072139285583,0.11325311647379002
official_station_id=STA_ES1271A,0.0008329342145608617,0.15707763022300458
official_station_id=STA_ES1090A,0.0008043413202795635,0.11575424240760138
official_station_id=STA_ES1712A,0.000736022964753498,0.06194844605089003
official_station_id=STA_ES2054A,0.0007330599156731352,0.16829438409035286
official_station_id=STA_ES1831A,0.0007130381806061521,0.1986544484965095
official_station_id=STA_ES2051A,0.0006875750441396516,0.10864772527247173
official_station_id=STA_ES1572A,0.0006778781370143359,0.10078136578868714
official_station_id=STA_ES1662A,0.0006685887851191316,0.25742513031123077
official_station_id=STA_ES1174A,0.0006204842450467716,0.21406632905969358
official_station_id=STA_ES1882A,0.0005756796624175997,0.22243374234724547
official_station_id=STA_ES1595A,0.0005551559967566768,0.18427726645492049
official_station_id=STA_ES1496A,0.0005439413201415356,0.24264354207161787
official_station_id=STA_ES2127A,0.0005309576304810297,0.13870104702638303
official_station_id=STA_ES1837A,0.0004881734068262842,0.18196611403676613
