cluster_label,image_id,sensor_id,capture_datetime,collection_datetime,official_station_id,official_station_name,silhouette_value,rank_within_cluster,image_path
1,67f392a8fc34192f37316dd8,67f392a8fc34192f37316dd8,2025-03-27,2025-04-03,STA_ES1747A,ROTXAPEA,0.04180256010195833,1,http://localhost:9000/images/53593c19-ff60-409e-a728-b03669c25ed2.png
1,6808a12effdee468dfce032b,6808a12effdee468dfce032b,2025-04-03,2025-04-10,STA_ES2054A,SALINAS,0.04709917486179213,2,http://localhost:9000/images/36100299-19e0-4658-8217-159f54fb2630.png
1,6808a7b1ffdee468dfce0338,6808a7b1ffdee468dfce0338,2025-04-03,2025-04-23,STA_ES2054A,SALINAS,0.056771077709393145,3,http://localhost:9000/images/20676f19-1b34-45c3-a32e-d1db92993bf6.png
1,68305572ffdee468dfce08f4,68305572ffdee468dfce08f4,2025-05-16,2025-05-23,STA_ES2019A,VILAMARXANT,0.06230250618061919,4,http://localhost:9000/images/9a2c0186-1221-46ba-844d-686380a067e6.png
1,67e555753ac225e4711108fa,67e555753ac225e4711108fa,2025-03-18,2025-03-25,STA_ES1268A,PLAZA DE TOROS,0.06752641380530577,5,http://localhost:9000/images/4fa50655-2817-4057-bdba-0f14c774f500.png
2,682c6b29ffdee468dfce07f0,682c6b29ffdee468dfce07f0,2025-05-06,2025-05-13,STA_ES1387A,ONDA,-0.07799734382041976,1,http://localhost:9000/images/4cf64dab-acfa-409b-9c85-03ffa56b5934.png
2,67e67a523ac225e47111092d,67e67a523ac225e47111092d,2025-03-18,2025-03-25,STA_ES1346A,MIRANDA DE EBRO 2,-0.07037839015203655,2,http://localhost:9000/images/8313eb65-8065-4b88-963e-57f5d3fc53be.png
2,67eaa7e33ac225e471110a04,67eaa7e33ac225e471110a04,2025-03-18,2025-03-25,STA_ES1163A,MIRANDA DE EBRO 1,-0.07037839015203655,3,http://localhost:9000/images/25bea622-2e14-42f6-bb89-8b4faef76663.png
2,67d91ded3ac225e471110572,67d91ded3ac225e471110572,2025-03-11,2025-03-18,STA_ES1358A,AVENIDA DE CASTILLA,-0.05853134869132135,4,http://localhost:9000/images/ae8168aa-d2dc-4565-88a1-2b28d6ba4441.png
2,67dbcac63ac225e4711105f3,67dbcac63ac225e4711105f3,2025-03-12,2025-03-20,STA_ES1633A,SAN BASILIO,-0.04570546290115091,5,http://localhost:9000/images/c0c6aeba-f7f9-436b-aca2-21ed30c67c01.png
3,67f51177fc34192f37316fa6,67f51177fc34192f37316fa6,2025-03-25,2025-03-28,STA_ES1346A,MIRANDA DE EBRO 2,-0.16120310760732964,1,http://localhost:9000/images/21bccba3-d875-4e6d-8e26-294fd925c20c.png
3,68023451ffdee468dfce02bd,68023451ffdee468dfce02bd,2025-04-03,2025-04-18,STA_ES1346A,MIRANDA DE EBRO 2,-0.16120310760732964,2,http://localhost:9000/images/33c7d680-8eb1-4521-af8b-58a17336fcf3.png
3,67dbcc233ac225e471110602,67dbcc233ac225e471110602,2025-03-12,2025-03-20,STA_ES1633A,SAN BASILIO,-0.15800965780534088,3,http://localhost:9000/images/0721931e-ba96-4ebc-8989-a2132c42ff80.png
3,67e593133ac225e47111090b,67e593133ac225e47111090b,2025-03-12,2025-03-20,STA_ES1633A,SAN BASILIO,-0.15800965780534088,4,http://localhost:9000/images/caba3030-2da1-46c7-82d1-dad0bfb1368c.png
3,692f0f81d9ad5d97847a2936,692f0f81d9ad5d97847a2936,2025-11-12,2025-11-23,STA_ES1258A,MOGUER,-0.1400050825449053,5,http://localhost:9000/images/d12acf28-beaf-496a-b305-e8f75bdc1d2c.png
4,67dd32b53ac225e4711106aa,67dd32b53ac225e4711106aa,2025-03-17,2025-03-21,STA_ES1601A,BADAJOZ,-0.2198610247538475,1,http://localhost:9000/images/e1d59896-db61-46a2-bd0d-19d2b357fec2.png
4,67f7f525fc34192f37317262,67f7f525fc34192f37317262,2025-04-03,2025-04-10,STA_ES1577A,PARQUE DE CROSS,-0.21967432928957573,2,http://localhost:9000/images/df63fb68-9588-491f-986f-38148ff9c53d.png
4,67f2c0f8fc34192f37316db5,67f2c0f8fc34192f37316db5,2025-03-13,2025-03-20,STA_ES1090A,JAIME FERRÁN,-0.20223020092995136,3,http://localhost:9000/images/00bd20b8-b2e7-411f-954e-34476479bdb5.png
4,69343692d9ad5d97847a295d,69343692d9ad5d97847a295d,2025-11-29,2025-12-06,STA_ES1443A,BURGOS 4,-0.19094057658607783,4,http://localhost:9000/images/ffd8b141-61ec-4b4a-9463-a04dcd137038.png
4,67f38cc1fc34192f37316dca,67f38cc1fc34192f37316dca,2025-03-27,2025-04-05,STA_ES1747A,ROTXAPEA,-0.18028482432014967,5,http://localhost:9000/images/928ddbff-d1b4-4240-bf84-d65cc0979ce5.png
