feature,eta_squared,kruskal_wallis_statistic,kruskal_wallis_p_value,cluster_mean_range,cluster_median_range,kruskal_wallis_p_value_bh
aspect_ratio_median,0.784707027259504,1213.8210124799436,7.353445332610443e-263,2.1883304012541536,2.39258690332755,3.088447039696386e-262
area_median,0.7114268850183999,1771.7628492997617,0.0,3.4156868568941605,3.419022582702909,0.0
mean_pixel_intensity,0.6501913516569849,886.6290442950814,7.03476060337161e-192,4.383236851977228,4.596373739358338,1.477299726708038e-191
circularity_iqr,0.6456727613919314,1395.0464453340871,3.499925250578097e-302,1.3731708347517964,1.644030677140465,2.449947675404668e-301
area_iqr,0.594642350284306,1504.6575777171097,0.0,2.0107161023979643,2.0119820572418052,0.0
eccentricity_iqr,0.556801827302734,897.2053201274721,3.5744513837255223e-194,3.921649049936451,4.273255233199418,8.34038656202622e-194
orientation_entropy,0.5149336423404387,1276.3578740649434,1.984610725709259e-276,1.717605687625591,1.9013965373618347,1.041920630997361e-275
circular_variance,0.47155446716729266,1189.4234590812391,1.4452750973437738e-257,1.5669534395451865,1.634796227603978,4.335825292031322e-257
feret_p90,0.4639081768456924,1208.920532526579,8.506277906314211e-262,1.8522330552634436,1.7271942860117764,2.9771972672099737e-261
feret_iqr,0.4031991276959838,1114.7686038474385,2.275070508146178e-241,1.5852394427095067,1.5741883154433598,5.9720600838837177e-241
aspect_ratio_iqr,0.3553133513793456,845.9859511014092,4.598528932819437e-183,1.1119815242989897,1.26618361555099,7.4283928914775526e-183
circularity_median,0.33830190940539456,864.5317560611574,4.366630769904318e-187,1.061728428034757,1.0923475807033745,8.336295106180971e-187
solidity_iqr,0.2788103683516242,855.8270608083758,3.374074378006362e-185,1.5924906621585628,1.6605032215032949,5.904630161511134e-185
eccentricity_p90,0.23964519570954415,736.1342791728849,3.0653471046129637e-159,1.434653007890735,0.0986051973916581,4.598020656919445e-159
mean_intensity_median,0.16264408376312525,429.4088028514544,9.428587196850503e-93,0.5267926393290429,0.9885382065247688,1.1647078301991797e-92
mean_intensity_p90,0.14269702309153337,445.66788644378175,2.8305122016682857e-96,0.9947304113182989,0.0,3.715047264689625e-96
solidity_median,0.1333853848889524,382.39184940983307,1.4420842141555538e-82,1.0537962373524556,0.0,1.6824315831814795e-82
mean_intensity_iqr,0.13333289378871677,308.15220627118794,1.7112910180023375e-66,0.9510851255586764,0.7748018900553386,1.7968555689024545e-66
num_particles,0.12685201928812326,308.75135796577433,1.269517881060081e-66,0.8458909823982002,0.9563777445458481,1.4031513422243e-66
aspect_ratio_p90,0.09124998283531795,253.59377065692223,1.0927587049901439e-54,0.5897453379596993,1.008409694940553,1.092758704990144e-54
circularity_p90,0.02668471769854504,572.1347871528008,1.1065112995084374e-123,0.3991432116104448,0.13189363799862847,1.5491158193118122e-123
solidity_p90,0.0,,,0.0,0.0,
