cluster_a,cluster_b,rank,feature,standardized_median_delta,higher_cluster
1,2,1,circularity_iqr,2.432630742683643,1
1,2,2,aspect_ratio_median,2.4225480543115547,1
1,2,3,circular_variance,1.421136554142215,1
1,2,4,orientation_entropy,1.4209155110044216,1
1,2,5,area_iqr,1.3917996922878617,1
1,2,6,feret_iqr,1.285223060186454,1
1,2,7,aspect_ratio_p90,1.0259891493562638,1
1,2,8,area_median,0.8450479458345992,1
1,3,1,mean_pixel_intensity,2.6373549081687613,1
1,3,2,mean_intensity_median,1.4902771956179386,1
1,3,3,aspect_ratio_p90,-0.8092489122437877,3
1,3,4,mean_intensity_iqr,0.6632615382247286,1
1,3,5,feret_p90,-0.4709058685951273,3
1,3,6,num_particles,-0.32473148627484155,3
1,3,7,circularity_iqr,0.2414201251801638,1
1,3,8,circular_variance,0.15820098205810007,1
1,4,1,eccentricity_iqr,2.314278141017888,1
1,4,2,aspect_ratio_iqr,2.170171563936699,1
1,4,3,area_median,-2.0441900644405995,4
1,4,4,circularity_median,-2.02722696893165,4
1,4,5,solidity_iqr,-1.6605032215032558,4
1,4,6,mean_intensity_median,1.4902771956179386,1
1,4,7,feret_p90,-1.2428326691843408,4
1,4,8,area_iqr,-1.1976272086617663,4
2,3,1,mean_pixel_intensity,2.5162501095131313,2
2,3,2,aspect_ratio_median,-2.4225480543115547,3
2,3,3,circularity_iqr,-2.1912106175034793,3
2,3,4,mean_intensity_median,2.176277809473815,2
2,3,5,aspect_ratio_p90,-1.8352380616000514,3
2,3,6,area_iqr,-1.3917996922878617,3
2,3,7,orientation_entropy,-1.3789929155468692,3
2,3,8,feret_iqr,-1.3211677420650072,3
2,4,1,area_median,-2.889238010275199,4
2,4,2,area_iqr,-2.5894269009496282,4
2,4,3,orientation_entropy,-2.4856874007488656,4
2,4,4,aspect_ratio_median,-2.4050157582453764,4
2,4,5,eccentricity_iqr,2.2411594370871137,2
2,4,6,circular_variance,-2.1793885943500015,4
2,4,7,mean_intensity_median,2.176277809473815,2
2,4,8,aspect_ratio_iqr,2.170171563936699,2
3,4,1,mean_pixel_intensity,-2.618004762793621,4
3,4,2,eccentricity_iqr,2.382018098734119,3
3,4,3,aspect_ratio_iqr,2.170171563936699,3
3,4,4,area_median,-2.0441900644405995,4
3,4,5,circularity_median,-2.02722696893165,4
3,4,6,solidity_iqr,-1.6605032215032558,4
3,4,7,aspect_ratio_p90,1.2942788524461668,3
3,4,8,area_iqr,-1.1976272086617663,4
