cluster_label,rank_in_cluster,image_id,sensor_id,capture_datetime,collection_datetime,distance_to_cluster_centroid,membership_strength,official_station_id,official_station_name,record_pm10,record_pm25,official_pm10,official_pm25,image_path
1,1,67f516f0fc34192f37316fbf,67f516f0fc34192f37316fbf,2025-04-01,2025-04-08,0.3235589763840527,,STA_ES1268A,PLAZA DE TOROS,13.755477417726226,13.755477417726226,34.6,19.3,http://localhost:9000/images/ebaafb8f-9a1c-48aa-ba1e-a4aa3271db57.png
1,2,67ed01ae3ac225e471110b44,67ed01ae3ac225e471110b44,2025-03-27,2025-04-02,0.3294254065156422,,STA_ES1269A,PALACIO DE DEPORTES,10.633473501434977,10.633473501434977,34.6,19.3,http://localhost:9000/images/e7758d50-deaa-4107-8e06-7f254b62d2a5.png
1,3,67ecfd5b3ac225e471110b3b,67ecfd5b3ac225e471110b3b,2025-03-27,2025-04-02,0.3294254065156422,,STA_ES1269A,PALACIO DE DEPORTES,10.633473501434977,10.633473501434977,34.6,19.3,http://localhost:9000/images/f387c377-d4da-47ee-8d72-782c743c07c9.png
1,4,69b1b1a6d9ad5d97847a2f4a,69b1b1a6d9ad5d97847a2f4a,2026-03-04,2026-03-11,0.35520107544491347,,STA_ES1244A,MAZARREDO,10.319105051530652,10.319105051530652,19.8,11.8,http://localhost:9000/images/71e274d8-5c65-4632-9eef-66a20b1d12f0.png
1,5,682c6c40ffdee468dfce0803,682c6c40ffdee468dfce0803,2025-05-06,2025-05-13,0.3650346881141527,,STA_ES1387A,ONDA,12.465482743980884,12.465482743980884,15.9,8.5,http://localhost:9000/images/3981ed91-9f5b-4d1b-a451-4c3c4f39dc10.png
2,1,67ed49dc3ac225e471110b5b,67ed49dc3ac225e471110b5b,2025-03-26,2025-04-02,0.38008096759052745,,STA_ES2161A,SAN SEBASTIAN DE LOS REYES,21.560487208454344,21.560487208454344,16.5,7.2,http://localhost:9000/images/91c031fb-69f4-4b9e-8641-ca7644211a8a.png
2,2,69ac0113d9ad5d97847a2d41,69ac0113d9ad5d97847a2d41,2026-02-20,2026-02-27,0.4666949491815174,,STA_ES1244A,MAZARREDO,14.48177693991898,14.48177693991898,19.8,11.8,http://localhost:9000/images/1511a19c-102f-4b3d-a23f-e86ab6d0d43a.png
2,3,67f6304afc34192f373170a9,67f6304afc34192f373170a9,2025-03-25,2025-04-01,0.5383013129734056,,STA_ES1387A,ONDA,42.10283936599571,42.10283936599571,15.9,8.5,http://localhost:9000/images/9880bb7c-f461-4d09-b6e0-ee6c41110086.png
2,4,67f4d05dfc34192f37316ed6,67f4d05dfc34192f37316ed6,2025-03-27,2025-04-04,0.6614945546798995,,STA_ES1831A,TORRENT-SANTA EULALIA,12.801531776637233,12.801531776637233,16.6,8,http://localhost:9000/images/a163a13d-7de4-4888-a2ce-dcb14cd15c45.png
2,5,67d33a713ac225e4711104c7,67d33a713ac225e4711104c7,2025-03-06,2025-03-13,0.6760726643172488,,STA_ES2132A,EL LAUREDAL,17.88562843198652,17.88562843198652,30.3,17.1,http://localhost:9000/images/13597429-bfe2-44a2-bde6-07c119905309.png
3,1,67e687333ac225e471110970,67e687333ac225e471110970,2025-03-21,2025-03-27,0.8776158009534679,,STA_ES1593A,SAN FERNANDO,53.29002006603935,53.29002006603935,9.8,3.4,http://localhost:9000/images/34ba5b47-7756-4a66-8479-3211966d4e68.png
3,2,6821bed8ffdee468dfce0681,6821bed8ffdee468dfce0681,2025-05-05,2025-05-12,0.9243670804934226,,STA_ES1598A,ZALLA,9.061631251913344,9.061631251913344,17.4,8.6,http://localhost:9000/images/e9d0c331-6795-4ea8-a968-a5a8b43d9685.png
3,3,6821c0f5ffdee468dfce0688,6821c0f5ffdee468dfce0688,2025-05-05,2025-05-12,0.9243670804934226,,STA_ES1598A,ZALLA,9.061631251913344,9.061631251913344,17.4,8.6,http://localhost:9000/images/689bbfab-0b17-4e7a-bd80-d9d266dc324a.png
3,4,6829f895ffdee468dfce0799,6829f895ffdee468dfce0799,2025-05-09,2025-05-16,1.293417671262098,,STA_ES2173A,RONDA SUR,39.39276652199289,39.39276652199289,23.1,13,http://localhost:9000/images/e184143c-840f-44da-b3be-726c5876ca60.png
3,5,69b189bdd9ad5d97847a2e81,69b189bdd9ad5d97847a2e81,2026-02-25,2026-03-01,1.2938928747401262,,STA_ES1595A,SANGRONIZ,36.07563736093344,36.07563736093344,19.8,11.8,http://localhost:9000/images/f6c49ffe-e46b-4d6e-962c-0350508182a8.png
4,1,698857f0d9ad5d97847a2b6f,698857f0d9ad5d97847a2b6f,2025-03-19,2025-03-25,1.519870933126463,,STA_ES1378A,TRUBIA,46.67744232667246,46.67744232667246,18.2,13.6,http://localhost:9000/images/a2ca9429-22a6-4024-a059-fa4eed01cbcd.png
4,2,67f8fb62fc34192f37317300,67f8fb62fc34192f37317300,2025-03-19,2025-03-25,1.519870933126463,,STA_ES1378A,TRUBIA,46.67744232667246,46.67744232667246,18.2,13.6,http://localhost:9000/images/3cc62f87-3726-4f33-8cb5-17bf8e9566b5.png
4,3,69721c26d9ad5d97847a2a8a,69721c26d9ad5d97847a2a8a,2026-01-16,2026-01-22,1.6045738310069004,,STA_ES2103A,ZUMARRAGA,7.934240948808171,7.934240948808171,11.6,6.9,http://localhost:9000/images/a6880b4b-01c9-4578-bbd5-006ebf781c36.png
4,4,69aafae3d9ad5d97847a2cfa,69aafae3d9ad5d97847a2cfa,2026-02-25,2026-03-05,1.6812492358557198,,STA_ES0905A,GETXO,20.96427118277372,20.96427118277372,18.3,8.6,http://localhost:9000/images/78da7ef7-6341-495f-932c-e439fbfcdec0.png
4,5,67f63042fc34192f373170a7,67f63042fc34192f373170a7,2025-03-25,2025-04-01,1.6895515315721306,,STA_ES1387A,ONDA,13.202622557549649,13.202622557549649,15.9,8.5,http://localhost:9000/images/7abbc78f-f57d-4e1e-b129-c3be6332bbdb.png
