feature,random_forest_importance,logistic_abs_mean_coefficient
mean_pixel_intensity,0.22934182883346574,1.7600246461699138
eccentricity_iqr,0.13830488403294497,1.5515429840081993
area_median,0.12571066547724205,0.8351990352297338
aspect_ratio_median,0.0815394667160658,1.0449384480894786
aspect_ratio_iqr,0.058944721227188926,0.5045783905481649
area_iqr,0.05633588550939674,0.7852042168993905
circularity_iqr,0.054623015753249876,0.73718963349361
orientation_entropy,0.04281984395274905,0.3509659120011215
circular_variance,0.029209355747349577,0.4817704325895377
feret_p90,0.028484199947040798,0.5967567769722935
circularity_median,0.023353106290798262,0.20973256054545913
feret_iqr,0.019683394402260614,0.6178178987412889
mean_intensity_iqr,0.01819720897120309,0.5020947117835313
aspect_ratio_p90,0.016412424262043583,0.298048127081465
num_particles,0.016179666056350586,0.16480670307622827
mean_intensity_median,0.01584613325324439,0.19010445428418116
mean_intensity_p90,0.013446373655889647,0.43256539434517505
solidity_iqr,0.01215447966762924,0.7548618611228544
eccentricity_p90,0.009446151993001556,0.49845204221896655
circularity_p90,0.008329933457488897,0.33816213513626875
solidity_median,0.0016372607933966448,0.6396457571787144
solidity_p90,0.0,0.0
