feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
num_particles,0.21898624586470056,0.011865288247063356,-0.21867649871526554,-0.044896435403058335,0.05781009712717621,-0.34259098646618164,0.2839879123770093,-0.021911997881761614,-0.19298372877619202,0.3689472550575316,0.17659350787125752,-0.11214510063559181,-0.04586300320365385,-0.11487929565725152,0.013373293835537207,0.03599841594913858,0.017858417104598043,-0.037440298824366086,0.03067779821752365,0.011827896470238384,0.002591239334777447,0.0
mean_pixel_intensity,0.5379420364347504,-0.18803786672709852,1.5865641368318608,-0.43312165874824776,0.013005837310487326,-0.03631981880146089,0.0041827531359996135,0.044389035715768445,-0.056472356030444024,0.020039917843641713,0.03187933535334964,-0.024778663166066316,-0.008823669073808877,0.012321797267865463,0.001114919247087469,-0.007874604699689895,0.0031688761687100686,-0.0005522363516873169,0.00039321217377275,0.00217318959369194,0.00016583765975059238,-0.0
orientation_entropy,-0.5054931069890638,0.4215167335563623,0.1609486644591847,0.05811496799325308,0.04278327663525645,-0.19986757965387641,0.03414827110513335,-0.026691543537801246,-0.04159384396166858,0.15951148537924148,-0.04692247105713233,-0.03175437074853977,0.11997143050144385,0.028748067445425036,0.03775463266873437,0.03644550640520948,0.015456538144533327,0.1294055206420026,-0.10439411222017332,-0.05459489835129227,0.00018039823559664272,-0.0
circular_variance,-0.4344360911444842,0.3715818172560733,0.21651777858526555,0.12232356399752088,0.04591340267361038,-0.09396512488323296,-0.01978807315534069,-0.12729838428687515,-0.07827749496893219,0.12968555007841698,-0.09453500755087031,0.08069208406450004,0.28838727086308774,0.10997221619806764,-0.051702423786651075,-0.017653048234352382,-0.025252124720558836,-0.07331432727863185,0.05666793624815039,0.028960051063441846,-0.0028035221939237778,0.0
area_median,-1.0654188212989992,0.16250001947622705,0.31062233870809397,0.11708363911115617,-0.08772202239760452,0.0863693082249191,-0.06794490349758685,-0.06729299561827821,-0.029066837267701016,0.14433774957786494,-0.1162632550859408,0.06217660805446432,-0.18768247889191977,-0.02800648357753044,-0.12388654560879771,0.04933362106551848,-0.019622628802030504,-0.05667967414623777,-0.08035070418849025,0.041326604108269,-0.016326833983516486,0.0
area_iqr,-0.6391604966592568,0.31859393600683145,0.1602717147554099,-0.013664598815972456,-0.08366415949329742,-0.006720637563234349,-0.04525059893053033,0.11832650262608259,0.04941644922016803,-0.009654942187128642,-0.09745446317297367,-0.06704526488435546,-0.014089706031087381,-0.10303037588059885,0.03932566051496526,-0.021406538810194206,-0.027312444788456607,-0.04723320933998605,0.018037010913340763,-0.05971561126946133,0.09355670150390835,-0.0
solidity_median,0.46627788294268224,0.14203141281823292,0.06049041545694239,0.41463932649286184,0.313256244892249,-0.3472666147477049,-0.2637030677364168,0.439619699909253,-0.30177568370082686,-0.09817412143594088,-0.03932243067241823,0.026727912029095583,-0.026984375838445717,-0.001499575229079682,-0.03972069649632069,0.010107077143429254,-0.008138759845752836,-0.009674501662043962,-0.011459463122604213,0.004430631265531777,-0.0006076482519456869,0.0
solidity_iqr,-0.6851214507519956,0.12509988249935375,-0.15303897771934036,-0.4410154268282098,0.01020717749722265,-0.14677749512116306,0.05401196172373772,0.3365688451870094,0.13797028296362887,0.012002365436545792,0.22773848329159552,0.29651998414955083,0.015081983499150891,0.0018454520332685602,0.004059134015505163,-0.013985237831942237,-0.011607493462816608,-0.0019374306944515093,-0.006213630122619307,-0.0005200100195010611,-0.0005675948742740489,0.0
solidity_p90,-0.0,0.0,-0.0,-6.567155209926551e-17,7.031762561900826e-18,1.1104973716774386e-16,1.402368969572984e-16,3.9347321687993554e-17,-5.11077624858971e-18,-2.0512454944885546e-16,1.6260311682872503e-16,-1.363271943386535e-16,-4.7748390380586067e-17,-1.3781168922485377e-16,-2.0831281512030187e-16,1.073527020742737e-16,1.5205643686717171e-16,2.261267517562821e-16,-1.79637964226396e-16,5.389797301331164e-18,2.506020869271486e-16,0.0
aspect_ratio_median,-0.5236803821530089,0.5955062833134819,0.24659587826930587,0.17694191445252724,0.15869374418451368,-0.06303504163040784,-0.1475999997125585,-0.2807317247941258,-0.014476669918330116,-0.14700611579991676,0.2714469773261802,-0.023608283487797806,-0.053606572459409654,-0.008643557579603956,-0.11642416096843128,0.003504631184001305,0.08370355762286553,0.039293917140625106,0.059928000751402824,-0.016047376778837694,0.00908365784647589,-0.0
aspect_ratio_iqr,0.3446416792522024,0.32506394371806036,-0.11215110952285678,-0.15079328704737405,-0.047813402309625386,0.04360559626969831,-0.0009421646081168098,0.06248362706529775,0.07651411905454762,-0.054128631324439964,0.05433762803736906,-0.09306095638188744,0.07777659239660753,-0.0721107741826565,-0.09211025334479482,0.0469810836543462,-0.09544372854855111,0.061790140730345784,-0.020620214441141368,0.1254931017375141,0.035387879064115245,-0.0
aspect_ratio_p90,-0.08406282462818945,0.26087115772926067,-0.12592342130200537,-0.17107833087106758,0.1664947877386309,-0.019446712364504827,0.06866987044182264,0.06719768036555197,0.07129218592542327,-0.040339340304530555,0.07953951672510709,-0.1523975012761832,-0.06998708907074276,0.27884609444668973,0.023310552825635735,0.13776212409413818,-0.06061315877783994,-0.042904788921433006,-0.00572845939931562,-0.02052649778172921,0.007475423033459599,0.0
feret_iqr,-0.5075263916854447,0.4437265687050264,0.07331064558153148,-0.14749639146060659,-0.0789984724662863,-0.00030921324338220824,-0.04708853301795896,0.20537038595742585,0.11742227004427254,-0.05663127369220743,-0.05736249342825973,-0.1669801341877393,0.03837943301506488,-0.14815271214920797,-0.017505301647012667,0.035188280312445815,-0.07459220040808223,0.0021357679092756806,0.06226097148682132,-0.04339784920078657,-0.06729051270219889,0.0
feret_p90,-0.6578349931586246,0.33717323625934587,-0.005785690975006601,-0.1346024095362418,-0.019326910310116227,-0.03550840524207738,-0.003098934441693621,0.2041721514694523,0.03626735328873518,-0.02551528640227857,-0.07686360645333593,-0.14437342338990722,-0.013539577826794625,0.05144499528730324,0.10872129306251234,-0.05866451856009233,0.17057102920992365,-0.005057848772206827,0.00512216590210213,0.08571375420306811,-0.006697239850346742,0.0
eccentricity_iqr,1.1418941396187174,1.3038813230653392,-0.1020594132061503,-0.08161671674761202,-0.3582328553922267,0.20190320720740562,-0.027617099387780057,0.028846098928612802,-0.0672411225912897,0.0849715897989832,-0.03277586124597818,0.09639936707143078,-0.05935924102273699,0.026637932771014176,0.0043624398163622504,-0.006630114988431261,0.029444660722552436,-0.010597216872596979,-0.0006275314558128901,-0.019094490046993408,-0.004143435732314387,0.0
eccentricity_p90,0.4588475648828175,0.36761650853020494,-0.04356757746861501,-0.1585853187191096,0.35990443496409324,-0.5103369689154407,0.22659629435454992,-0.18517132014841112,0.2916493466269919,-0.09940557341161997,-0.21424201213512925,0.06106694200748886,-0.06629399233864358,-0.032086841100256475,-0.033900387852601944,-0.02654157483374523,0.006919988910188719,-0.011204835748269392,-0.004115987204262741,0.0029503365605971898,-0.0018491823267898137,0.0
circularity_median,-0.3510942774132079,0.041407256205627345,0.17349173171872834,0.1436869527678963,0.03008623470091296,-0.020076577462527723,-0.03182093878693645,-0.042285336099898534,-0.05412207743442931,0.11367946880886981,-0.12110930975952391,0.12444393424622315,-0.13845822017722206,0.048768976135575896,0.11749832173982513,0.03600927334827935,-0.07213089073186059,0.09186036272070011,0.11370873599806429,0.036977922624757506,0.005310688141488022,0.0
circularity_iqr,-0.11261324125020714,0.44794354296355643,0.17841695139342884,0.18219740952747251,0.14718460567796135,-0.02789893034775403,-0.08193864225649225,-0.21392029693129447,-0.0328411848926689,-0.10250417822799407,0.15987907334370302,0.002376350360602944,-0.00114294543268399,-0.06289138402436883,0.2050321356194376,-0.059642309082741714,-0.09812237687340179,-0.05065820418592549,-0.06030555929866679,0.029383754548356962,-0.015370452176149428,0.0
circularity_p90,0.02783208996419533,0.24605488482641097,0.02007895384926405,-0.022470195890835522,0.7118185078117841,0.6091361965615657,0.1923946352782835,0.10075605299813528,-0.023438236885030862,0.0907374341012364,-0.026485278704127195,0.021975922421652083,0.013031652971427292,-0.05072173435991076,-0.010686337570737224,-0.012390890279970711,0.014334258169783638,0.005909856574177131,0.0008157441742303268,-0.006635842896192929,0.0013951547310997446,-0.0
mean_intensity_median,0.21997094144561818,-0.08060447304614701,0.09859135788244154,0.04923231510639299,0.033672418609111396,0.03024333087636595,-0.1344475694017801,-0.06063879998138737,0.09422604923427623,-0.05073604039105681,-0.02492087672444918,0.10434068808499719,0.07692897441315745,-0.11987471935106098,0.08512105235012116,0.23674402461123423,0.08955586717540052,-0.029914384459271987,-8.014925976114897e-05,0.010518067568672119,0.003257013619480495,-0.0
mean_intensity_iqr,-0.2311526285373777,0.10910719121105651,0.3261560659295314,0.43764458594648287,-0.23489801053301704,0.034976514431975976,0.6342367970974955,0.11240435745682294,-0.10592335077136057,-0.22452102859256673,0.01461741779267861,0.04274290517865456,0.013852705261896622,-0.0020058114752608065,-0.0016992937715609778,0.034308827689954295,0.0026287194984128846,0.0014550894601194832,0.000505526501092448,0.004708882878574194,-0.0012122102626325555,-0.0
mean_intensity_p90,0.37667437781370405,-0.04891451814681,0.3489551991500456,0.6387490551715013,-0.036564806055512974,0.017276137082121407,-0.043193092649367444,0.17764505052708632,0.4902299572100973,0.19498990947738823,0.10312139882424752,-0.025677537217337655,-0.0003772853094345484,0.0297025953341443,-0.002629669347741596,-0.026396379803038147,0.0053770053438248,-0.0036134956566851403,0.001994225289277942,0.003575512124669641,-0.00046805585249384796,0.0
