component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.30391085832394626,0.30391085832394626
PC2,0.17598440813161884,0.47989526645556513
PC3,0.16186413414800963,0.6417594006035747
PC4,0.0709219998979461,0.7126814005015208
PC5,0.052039699690961505,0.7647211001924823
PC6,0.0506992448811749,0.8154203450736572
PC7,0.035934242132143995,0.8513545872058013
PC8,0.033253752348482456,0.8846083395542838
PC9,0.02749034067709326,0.912098680231377
PC10,0.019220257060139995,0.9313189372915169
PC11,0.015774860869133527,0.9470937981606504
PC12,0.012225071205250246,0.9593188693659007
PC13,0.009373113862688312,0.9686919832285891
PC14,0.008675530156378319,0.9773675133849674
PC15,0.0061750639522261475,0.9835425773371935
PC16,0.004851682114570199,0.9883942594517637
PC17,0.004104257068905217,0.992498516520669
PC18,0.002456896400357243,0.9949554129210263
PC19,0.002358523151101888,0.9973139360721281
PC20,0.0019108705572145328,0.9992248066293427
PC21,0.0007751933706573993,1.0
PC22,0.0,1.0
