variable,cluster_label,count,mean,median,std,iqr
latitude,1,1773,41.554383996677544,42.68957839999999,3.4760427278119383,3.3575681836825524
latitude,2,367,41.940745891218626,43.261566635756054,2.669760686135431,2.7873253117024817
latitude,3,438,41.96574248654317,43.1736994625947,4.013519207263271,2.92610472479204
longitude,1,1773,-3.390649725754054,-2.96202,5.620530333108392,4.580238988291167
longitude,2,367,-3.1025065682899817,-2.9413674188324013,5.190246472141908,0.2387406076637162
longitude,3,438,-3.295246226815207,-2.9674418623920475,5.8332247817356455,1.8473618381648023
official_station_distance_km,1,1773,33.32568380181151,3.3184495342197473,449.64002371810204,5.779250585222698
official_station_distance_km,2,367,30.37302584119647,1.247516789196083,434.31769430689695,3.725548859744992
official_station_distance_km,3,438,63.70195031942077,2.3848587533542362,544.5121491075919,8.011521946010935
record_pm10,1,1773,23.922851439623678,14.666061893311173,29.736188828148077,13.593725385518137
record_pm10,2,367,51.58838969579239,23.880309562920754,75.80826729030228,38.38547176245592
record_pm10,3,438,32.0169382215648,14.638961164871144,45.844716015364256,20.049118899932854
record_pm25,1,1773,23.914643243127895,14.666061893311173,29.7386436745139,13.593725385518137
record_pm25,2,367,51.54773511104202,23.880309562920754,75.82120347962874,38.38547176245592
record_pm25,3,438,32.01342402236318,14.638961164871144,45.84655108231636,20.049118899932854
official_pm10,1,1773,17.717258883248732,16.7,6.811742618063251,9.299999999999999
official_pm10,2,367,18.681198910081743,19.8,4.477245002598787,3.1999999999999993
official_pm10,3,438,18.45251141552512,18.25,6.399602627047734,8.3
official_pm25,1,1773,9.972701635645798,8.7,3.6413708858702107,3.999999999999999
official_pm25,2,367,10.4425068119891,11.3,2.5945115481838426,3.200000000000001
official_pm25,3,438,10.792009132420091,10.3,3.3284583182266694,3.3000000000000007
record_pm25_to_pm10_ratio,1,1773,0.9994185912842467,1.0,0.009306816360191176,0.0
record_pm25_to_pm10_ratio,2,367,0.9981694218681779,1.0,0.01597281174901643,0.0
record_pm25_to_pm10_ratio,3,438,0.9996026830340905,1.0,0.00830573037737181,0.0
official_pm25_to_pm10_ratio,1,1773,0.5792655535776838,0.5657894736842105,0.12475727998111602,0.17541494649928385
official_pm25_to_pm10_ratio,2,367,0.5624187794589491,0.595959595959596,0.08676357387332906,0.10170672239637762
official_pm25_to_pm10_ratio,3,438,0.6035471564178553,0.595959595959596,0.11092781352649604,0.18574778808229397
official_pm10_minus_record_pm10,1,1773,-6.20559255637495,0.9981448898235428,30.144409277874818,14.800849220322933
official_pm10_minus_record_pm10,2,367,-32.90719078571063,-4.44368138093412,75.78637054815758,40.9654611099466
official_pm10_minus_record_pm10,3,438,-13.564426806039682,1.2262422501545354,44.627990889093304,18.207265997901903
official_pm25_minus_record_pm25,1,1773,-13.941941607482097,-5.369845867630556,29.88288901573692,13.433235058954645
official_pm25_minus_record_pm25,2,367,-41.10522829905291,-13.70846731339912,75.7502114184802,40.26097007840141
official_pm25_minus_record_pm25,3,438,-21.221414889943087,-4.879049987637938,45.264509810545576,18.416150348170454
abs_pm10_gap,1,1773,14.570687077330913,7.076855158358905,27.108852203335047,11.860866922649302
abs_pm10_gap,2,367,39.242291460791044,11.161140111751097,72.70831951830637,28.337154960152823
abs_pm10_gap,3,438,21.991160919019205,8.57447906227286,41.134414871336205,13.017165370370597
abs_pm25_gap,1,1773,15.444340308122696,6.680618641258404,29.134809835661997,11.710975326872335
abs_pm25_gap,2,367,42.1370365032552,13.70846731339912,75.18114443253074,38.28519545524498
abs_pm25_gap,3,438,22.902793319692446,5.771876008395715,44.43744318112291,15.862925079943928
official_pm_total,1,1773,27.68996051889453,26.0,10.111007702548278,11.5
official_pm_total,2,367,29.12370572207085,30.7,6.817788833503912,5.600000000000001
official_pm_total,3,438,29.24452054794521,28.4,9.385338056363562,11.699999999999996
record_pm_total,1,1773,47.83749468275157,29.332123786622347,59.47468137629411,27.187450771036275
record_pm_total,2,367,103.1361248068344,47.76061912584151,151.62902392387977,76.77094352491184
record_pm_total,3,438,64.03036224392798,29.27792232974229,91.69123768699065,40.09823779986571
capture_year,1,1773,2025.1128031584885,2025.0,0.3163520284800938,0.0
capture_year,2,367,2025.5231607629428,2026.0,0.49946329100336123,1.0
capture_year,3,438,2025.1963470319636,2025.0,0.39723403051929757,0.0
capture_month,1,1773,3.2346305696559505,3.0,1.1425211539194724,1.0
capture_month,2,367,2.991825613079019,3.0,1.0295040959052368,1.0
capture_month,3,438,3.7625570776255706,3.0,2.251993503519233,1.0
capture_dayofyear,1,1773,83.81556683587141,84.0,32.9442665490061,23.0
capture_dayofyear,2,367,74.5558583106267,63.0,28.53080962455824,31.0
capture_dayofyear,3,438,100.23744292237443,84.0,70.5638301337287,26.5
capture_weekday,1,1773,2.1878172588832485,2.0,1.529638904852919,2.0
capture_weekday,2,367,2.2452316076294276,2.0,1.5986448240098183,2.0
capture_weekday,3,438,2.4269406392694064,2.0,1.5984882273306424,2.75
