feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46
num_particles,-0.16966139911146705,-0.22963578516020966,-0.06638715961281831,-0.060789514530378876,-0.09941759578968207,0.03916053411136318,0.054217197575075156,0.041798351140399294,0.07735690401971196,-0.05047479600601077,0.28233770333841834,-0.0905854918510019,-0.06539703458073697,-0.08070054325569485,0.1645443254840346,0.23225527185029748,0.14048289941068806,0.01133992698573271,-0.04272219391348569,-0.2907198894252957,-0.19443622626272208,-0.03367572818197445,-0.15185467339726924,0.07265016639851204,-0.1841506120982924,0.017425918913013285,-0.04131712971958875,-0.1050855175310257,-0.04651086330184972,-0.07657825313147806,-0.032696763695308266,-0.1220915186166904,0.015081023374070492,0.03505834367273087,0.04611986264056074,-0.010564694726241067,0.006374412360244804,-0.012409837921794032,-0.04915070890255934,-0.012263404748897169,0.0007407213873378038,0.0017738575577532212,0.00041661479113928645,0.00020933820673809108,-0.0,-0.0
mean_pixel_intensity,-0.8535073087146947,1.1823446005282197,0.2559687120051208,-0.25657272533238545,0.5955886245547859,0.0016979592361734304,-0.17233833558641684,0.4028621769617228,0.18142325750027302,-0.2469409306196446,-0.007144163008314138,-0.1056669006199578,0.08677518979436105,-0.06215683352226702,-0.1663927114101494,0.0074028393793787875,-0.0841559098203697,0.13309699642494374,0.10575893232175672,0.012615574835482037,0.06321915844159363,-0.04722012292106568,-0.07579822864443538,0.04270725835811151,-0.06559384156578416,-0.002188039782215347,-0.016706731089774093,-0.033356364370093476,-0.043558851101940556,0.02687772556819505,0.07880094440480434,-0.027702135702387252,-0.004855300068285347,0.004998410101276573,-0.007551412384568573,0.004017278675727074,0.006698137317303414,-0.0053225775208395115,-0.003851878868133413,0.0013278245385462714,0.0015957192937063774,-9.290216785103643e-05,0.0003563400467272664,7.770413452147016e-05,-4.158733678051232e-24,4.5045690257283517e-26
orientation_entropy,0.4937577158834438,0.151320357013698,0.43302006705280666,-0.01735158090003362,0.02986042211705195,0.0029714266941940474,-0.028610502512722593,0.03399510117595067,-0.0033921701946638635,0.06756777141576455,0.18519337596264943,-0.01517100479421723,-0.02432758941216648,-0.007751129412107679,0.051524552803169615,0.05082089069892974,0.020720461298548112,0.03860348376361275,-0.03838410447488318,-0.12593275600773965,-0.05415675094425098,-0.03821171675865555,-0.06454283888125698,0.07322752075639234,-0.021524444634659044,-0.0245792093272665,-0.009491496726332078,-0.03376874013611443,-0.03771756533962026,-0.04822421262264936,0.03504248116128876,0.10225244699541919,-0.014186290396535548,0.02858111416845647,0.04011850108483179,0.027691351173849986,0.007473826576547542,0.03511779410225268,0.1665981787698243,0.03458516259648991,-0.011875038280131128,-0.0005490438075214637,0.0006251861055575705,5.243332607105194e-06,-5.123860745707391e-23,-3.0497020828610486e-26
circular_variance,0.40928391766301675,0.19472708748192097,0.4017617332948866,-8.854312670032885e-05,0.035147099477926186,-0.03267535059539658,-0.04886722204307465,0.029846468627158243,-0.0700045631166195,0.09306588570319876,0.10619994161024021,-0.02109951697145677,-0.019483523010542632,0.06026906270109955,0.0005355266718361238,0.02809128649618492,-0.03133063869863326,-0.032830350690682845,-0.0393101093726361,-0.16015057226533186,0.01636191054191333,-0.07219216442268506,-0.06072615917715522,0.12238152295505948,0.013762408985590252,-0.017231475707479845,-0.022891407744186455,0.04689510878565723,0.0040982391183241864,-0.05290796448288381,0.06073154354807904,0.29749049783317255,0.00658980503868183,0.008348748704013895,-0.03268496546788376,-0.03367932590019514,-0.02759574475182343,-0.028970586429680992,-0.08466720537634188,-0.022071393440134188,0.010219353444589768,-0.002768135392312974,-0.0005516619553216643,0.0001412082791844404,5.199839067541268e-23,4.619843149367359e-26
area_median,1.0521625198134037,0.5329839044420395,0.2339670850654441,0.03398581572231793,0.11784731732468484,-0.016803055116203856,-0.07554518669575253,-0.0027774722441775606,-0.12234370047057988,0.0398952244456579,-0.08874333936014976,0.06338747083904783,0.0018579963349564304,-0.020893592458777737,0.0010915726160671772,-0.0396076887561596,-0.04765265106018453,-0.06821460646781703,-0.04660122606923041,-0.12335616187787936,-0.06575343418327037,-0.06335030788782488,-0.05777669683782806,0.11059246349934637,0.12718989564155758,0.009622954656049556,0.07786629851285272,0.05781913718423961,0.010245926873809045,0.07371481183454708,-0.0023638332894429896,-0.1652242266404769,-0.023818253130625976,-0.006502739379440456,-0.00011965040654752037,-0.06882557408230776,-0.02598044736241783,-0.10532311961824156,0.02120316471992423,-0.015218999993111909,0.02890541421212555,-0.013428206818256218,-0.0008994300873489245,0.0003621162098775146,-1.0989337342719164e-23,1.0152193397338278e-25
area_iqr,0.6098810186267566,0.21201948030632906,0.33801420784643227,-0.005858403050368936,0.0717977590308161,0.048044085559201956,-0.010922470611825321,-0.013881238905204905,-0.005126445761084428,0.009058847509577257,-0.007242106880485313,0.035138945818387377,0.00933739301247817,-0.07775834487562354,0.022408961286776833,-0.034528419705418735,0.01664942728705574,0.011413518910929512,0.042030879590244805,0.07380406108768407,-0.03692008591264199,0.026310453904352216,0.004602336050200051,-0.01113526266556082,0.08374493289526114,-0.03847203683702132,0.046062544617027704,-0.03619201901252189,-0.06149260274981472,-0.0927052845850183,0.030310367357616975,-0.04683508910723089,0.02672980201604705,0.014406878282955211,-0.004128369695352515,-0.009914646575788976,-8.498896317343187e-05,0.010278744622697806,-0.029676441646313105,0.007890260511418614,-0.07452164787573855,0.09315070407240005,0.0016188856138700004,-0.00018576791176856135,2.1081581479061584e-22,-3.371987964466795e-25
solidity_median,-0.4313736209488908,-0.14400876901144796,0.14090748213985138,-0.06633758015156875,-0.021413196247262362,-0.17754640915864778,-0.02048911790117867,0.17499993424315585,-0.11821480624987489,0.4379243353348811,0.3857640583461704,0.06421805201307271,0.002674306854935899,-0.06943272076825491,0.23437600386464336,-0.22683963161690499,0.04197389966931223,0.07103350936341549,0.44983992614700546,-0.06251986422767547,0.056647795316815,0.042306599738184875,0.08390565191457948,0.032829986935244464,0.047053770498204854,0.024700320570842916,-0.03599463734977508,0.051353436595452065,-0.02301707034009038,0.033140793218863644,0.01135458120125728,-0.03070381585409902,0.012062845976403619,-0.001411003277236172,-0.005448250898077447,-0.015384587514210407,-0.0035495201770629156,-0.01686814870379125,0.002191318414349033,-0.0021739771007525392,0.0033935270962434814,-0.0003630659405313155,-0.00020839108666226468,7.956398235717374e-05,2.481806488176766e-24,6.545499381134735e-27
solidity_iqr,0.6762439502072808,0.03205423151865668,0.05348847962093529,0.046041642889857994,0.03551475758308605,0.3362753418675098,0.06577877515951015,-0.06379202645800129,0.26623056717756866,-0.19565824626335324,0.1309448258947724,-0.026624969374805296,0.04547993539201386,-0.12380141556249694,0.11324031618812694,0.01438104671025982,0.1454962592673227,0.13502239775657743,0.14002783633620608,0.27747283046889853,-0.10527295156920659,-0.06611974573458433,-0.027163083944247525,0.05692316642332686,-0.13895036219071982,0.08573069560616543,-0.0714824929153592,0.16136180372360442,0.1989454845174914,-0.015999926360305644,0.029368170964709787,0.004639388135445369,-0.03386849087370423,-0.035882600816223596,-0.01742537112771714,-0.011300318965364728,-0.007396474538904894,-0.002790234502095352,0.0018789351360977518,0.0005212179738007131,-0.0023173354528066674,-0.000745039496754891,-0.00038726398702592274,-4.8731679784191304e-05,1.8313686078786772e-23,4.164850901849967e-26
solidity_p90,0.0,3.9299653194594965e-18,1.1133596343468947e-16,3.8223390784030847e-16,1.7439459892573811e-16,0.0,-7.409893963245709e-17,-3.0310889508675563e-16,1.2254067888737206e-16,-9.123697561787238e-17,1.699551776338796e-16,8.073037954992427e-17,8.577188061743114e-17,1.8733645136585537e-16,3.553035095995174e-17,-8.179952782102853e-17,-8.945485661794946e-17,2.1533850100528441e-16,-2.6383966423534423e-16,6.051128957719596e-17,1.6795415941000512e-16,1.3916938548491212e-16,1.7600365704361378e-16,-3.0560729388370615e-16,5.872678146250846e-17,-4.408835621562701e-16,3.164522800552311e-16,-3.523105621540472e-16,-1.735700175190172e-16,9.317070033027231e-17,-1.2643465388780452e-16,-9.778272958078518e-16,1.4116449564924878e-16,2.8543035959734017e-16,-3.8313644136079783e-16,-1.1708498425302639e-16,2.1445197985980884e-16,1.4678775644531766e-15,5.928296610266514e-16,3.4806249328934396e-16,-1.4753606406538343e-16,-2.2746890376194115e-15,2.7091333810972263e-15,6.969382568283222e-15,1.6020108063607008e-08,-1.5701904039956956e-12
aspect_ratio_median,0.5140933486264939,0.15251792229669808,0.5900743003685895,-0.036143675019396596,0.055558566271501734,-0.03263509182666428,-0.03192211310460859,0.0985820285046602,-0.09899336134296452,0.12312321222435911,0.20004373324606936,-0.00410052954784999,0.010994009994044042,0.18096590745037527,-0.1820566083983332,-0.09052724543000272,-0.08376375799076285,-0.2642723027370173,-0.05806278048677255,-0.03472533337051447,0.005275401098229932,-0.013959333737226281,0.016438526345449327,-0.048066992630958066,-0.14835385648955304,0.07865419351302494,-0.05127527525130184,0.04119803232680675,0.08162703508957436,0.14628359502658686,-0.04971038064347206,-0.05311593093030162,0.1359329951499834,0.052326448898462635,-0.00810303592867808,0.07745854488053121,0.032784134370666525,0.04041843993105841,-0.02030645480405712,-0.004566491407890996,-0.0064909464808019235,0.005433107771447912,0.00034988317475822243,-0.00017628890304152137,1.2804403388875713e-24,-8.87900540819824e-26
aspect_ratio_iqr,-0.28154708775565407,-0.25776456962198885,0.288274373308498,-0.04338138423261215,-0.047568488460774445,0.07785408152720383,0.0025669529273203147,-0.05425880560826243,0.1113531335708412,-0.07107348250025432,-0.04959436059098644,0.006415833768690365,-0.0035576407475611626,-0.03592543942857827,-0.009537387695401661,-0.009718908068147,0.0229507472109342,0.010536346633996531,-0.0014197807393774387,0.09801788372166248,-0.017992439689523448,0.021788979234186334,0.011126711699946059,-0.04272004061816657,-0.030197098068177997,0.008880003064493418,-0.029011984085502963,-0.03585293854840632,-0.03294734806091655,0.0009014830753764805,-0.006083317561243812,0.020273811155060127,0.1566761886683242,0.06488696226017777,-0.00860330574260003,-0.09073768204336427,-0.05330309117676114,0.000730630231561996,0.033992583403536884,-0.02294040149590276,0.1269985241797958,0.036697540569425986,0.0003059415876182831,6.381783939219823e-05,8.093218941263483e-23,3.82125614714329e-25
aspect_ratio_p90,0.124234662754831,-0.15103579217330915,0.1932773092480885,0.014402079899557968,-0.021788497787723182,0.11334403406858509,0.019186406073632808,0.00308555905201384,0.16099080498202284,-0.046628921377861975,0.12085803542817898,-0.027491757342875338,-0.0039457713086655105,-0.00510404844128913,-0.007104637550765661,0.008675788008738467,0.03940271708712931,0.012953365536020668,-0.01618207164259084,0.10564958295456259,-0.02086529950956845,0.017343781756240934,0.01970868433825952,-0.05176799914305394,-0.04296482702487602,0.03479136611272481,-0.034755039465816054,-0.11127978047233386,-0.11499526654509329,0.2797454691508352,-0.0813272075406523,0.08593026180602069,-0.10130583614068288,-0.0325402558343616,0.0974170054701461,-0.07635006645922486,-0.03395465607247751,-0.020282903464010175,-0.008028750310219726,0.005263269931159959,-0.03397793756522196,0.007526290269532848,0.0007576244558208823,-0.00016128182502859835,3.92457624303871e-23,-2.242764440423807e-25
