cluster_label,cluster_primary_category,temp_top_category,count,fraction_within_cluster
1,fibrous_synthetic_materials,combustion_related,593,0.3344613649182177
1,fibrous_synthetic_materials,mechanical_non_combustion_particulate,85,0.047941342357586014
1,fibrous_synthetic_materials,biological,218,0.12295544275239707
1,fibrous_synthetic_materials,fibrous_synthetic_materials,505,0.28482797518330516
1,fibrous_synthetic_materials,industrial,19,0.01071630005640158
1,fibrous_synthetic_materials,mixed_unknown,353,0.1990975747320925
2,fibrous_synthetic_materials,combustion_related,57,0.1553133514986376
2,fibrous_synthetic_materials,mechanical_non_combustion_particulate,47,0.12806539509536785
2,fibrous_synthetic_materials,biological,17,0.04632152588555858
2,fibrous_synthetic_materials,fibrous_synthetic_materials,181,0.49318801089918257
2,fibrous_synthetic_materials,industrial,2,0.005449591280653951
2,fibrous_synthetic_materials,mixed_unknown,63,0.17166212534059946
3,mixed_unknown,combustion_related,85,0.19406392694063926
3,mixed_unknown,mechanical_non_combustion_particulate,96,0.2191780821917808
3,mixed_unknown,biological,0,0.0
3,mixed_unknown,fibrous_synthetic_materials,19,0.04337899543378995
3,mixed_unknown,industrial,1,0.00228310502283105
3,mixed_unknown,mixed_unknown,237,0.541095890410959
