feature,random_forest_importance,logistic_abs_mean_coefficient
official_station_distance_km,0.07149395127288347,0.010772592065707872
longitude,0.06559994469545309,0.09335327543318488
abs_pm25_gap,0.06532370817200209,0.16055612024774682
official_pm25_minus_record_pm25,0.06442344474742326,0.07575812541483365
record_pm25,0.06415016797373868,0.08271584960283573
latitude,0.06405939110742125,0.09187651732580504
record_pm10,0.0637318339435667,0.08271584960283573
abs_pm10_gap,0.06334514253340236,0.07706569079123456
record_pm_total,0.06285714383429658,0.08271584960283573
official_pm10_minus_record_pm10,0.0620233145055888,0.0761519101697472
capture_dayofyear,0.055804923137167686,0.4135461469598756
capture_weekday,0.03076453812787056,0.0629406273169431
official_pm25_to_pm10_ratio,0.02954516519325492,0.11585426506510549
capture_month,0.024994669852488906,0.1818977840639676
official_pm25,0.02447132353792722,0.08612273594619603
official_pm10,0.021519915403109838,0.057723938805489906
official_pm_total,0.020859366557502906,0.05959818301137282
official_station_id=STA_ES1378A,0.008371886157528409,0.1437683172320529
station_distance_band=1_to_3km,0.006967446940804397,0.07627584325374066
station_distance_band=under_1km,0.006511924819350034,0.14606129752687977
station_distance_band=3_to_10km,0.005844201912317674,0.12057296578806508
capture_season=spring,0.005809133906277432,0.015317755113470442
official_station_id=STA_ES1621A,0.005729112331766511,0.10961169072315713
capture_season=winter,0.005082030182387585,0.12564015565702055
capture_year,0.004712717876570458,0.010881021659953617
capture_season=autumn,0.004649870168831933,0.28241433941832633
station_distance_band=over_10km,0.004520374629360252,0.16492831924562476
official_station_id=STA_ES1346A,0.004102436602485792,0.16718781930793278
official_station_id=STA_ES1569A,0.0038922139463053924,0.09284999471480486
official_pm25_band=moderate,0.0035827687386153725,0.02959452846566085
official_station_id=STA_ES1580A,0.0033873409487911173,0.11336578230925422
official_pm25_band=low,0.003308611705995988,0.02959452846566085
official_station_id=STA_ES1868A,0.003137834371966239,0.15856724878555203
official_station_id=STA_ES0333A,0.0030199072123089196,0.13081504202685557
official_pm10_band=low,0.002982719251226454,0.029052296385284494
official_pm10_band=moderate,0.0029193660338049316,0.029052296385283418
official_station_id=STA_ES1593A,0.002316040996280753,0.26683093546548214
official_station_id=STA_ES1244A,0.0021310532512176686,0.11275919375214184
official_station_id=STA_ES1633A,0.0020119150398602305,0.07113805177988973
official_station_id=STA_ES2058A,0.0020072046429702815,0.08057277482349486
official_station_id=STA_ES1598A,0.0016696544294203238,0.07389656765636805
official_station_id=STA_ES1387A,0.0016414942695368378,0.09248155458715557
official_station_id=STA_ES2103A,0.0016142790764901,0.11333041223535545
official_station_id=STA_ES1747A,0.001572149703475866,0.15623913456987984
official_station_id=STA_ES1836A,0.0014197491512942776,0.0775111020850897
official_station_id=STA_ES1662A,0.0014157107677910822,0.28456146513704
official_station_id=STA_ES1271A,0.001401772672699819,0.0628410943464292
official_station_id=STA_ES1894A,0.0013517602828923947,0.11223058257571909
official_station_id=STA_ES0905A,0.001320232594356494,0.10967347515796151
official_station_id=STA_ES0041A,0.0012051041636813285,0.20052512797711097
official_station_id=STA_ES1578A,0.001190325677145892,0.08354784655901733
official_station_id=STA_ES1268A,0.0011688812708587025,0.048084258848235674
official_station_id=STA_ES1163A,0.001129525084676472,0.03422181950252635
official_station_id=STA_ES1577A,0.0010576336906850125,0.06241201381875133
official_station_id=STA_ES2051A,0.0010505091096700042,0.0917131578796737
official_station_id=STA_ES1831A,0.0010376085128806873,0.08303534944902408
official_station_id=STA_ES1090A,0.001023888839461778,0.03530716549620028
official_station_id=STA_ES1174A,0.0010094452947993866,0.2560705034245882
official_station_id=STA_ES1572A,0.00098906552707192,0.01884004350402829
official_station_id=STA_ES2129A,0.0009704954980296209,0.14885417902140685
official_station_id=STA_ES2054A,0.000968674833356142,0.22754100579450207
official_station_id=STA_ES1712A,0.0009554051608701299,0.040512749099173996
official_station_id=STA_ES0104A,0.0009397187771242626,0.08098097600144905
official_station_id=STA_ES1818A,0.0009164478773058481,0.09208860289806908
official_station_id=STA_ES1837A,0.0007877447633988812,0.16781310680205777
official_station_id=STA_ES1353A,0.000766767123001176,0.16972532512326624
official_station_id=STA_ES1358A,0.0007593093186611877,0.11789170734473385
official_station_id=STA_ES2019A,0.0007217376669144504,0.0535628337478062
official_station_id=STA_ES0110A,0.0006979844063331373,0.03927548805960322
official_station_id=STA_ES2161A,0.0006843223679038102,0.12815597137614912
official_station_id=STA_ES1442A,0.0006090273270439334,0.1371783363564438
official_station_id=STA_ES1269A,0.0005815957477566458,0.15721286679189633
official_station_id=STA_ES0010R,0.0005688575247226164,0.10191392351517448
official_station_id=STA_ES1613A,0.0005522757087099933,0.030193129720432116
official_station_id=STA_ES1044A,0.0005485649138645305,0.042843457894220026
official_station_id=STA_ES1529A,0.0005263093318471488,0.1014276090258649
official_station_id=STA_ES1882A,0.0005211391987830512,0.23639864540147146
official_station_id=STA_ES1417A,0.00048160932096800996,0.06890881482018903
official_station_id=STA_ES1532A,0.00048087203615355197,0.04322693474121921
official_station_id=STA_ES1641A,0.000475974781440351,0.041946555624507574
official_station_id=STA_ES1673A,0.00042888874563097324,0.031784169653110254
official_station_id=STA_ES2132A,0.00040733960693440995,0.010402530526550102
