variable,cluster_label,count,mean,median,std,iqr
latitude,1,1277,41.56607592833304,42.68553395442223,2.7985898452078333,3.3659729986369626
latitude,2,484,41.170497382613924,42.678457996745664,5.52007765445401,3.347867759684256
latitude,3,311,42.25149476043393,42.81843,2.970372648284834,2.214633854184214
longitude,1,1277,-3.6482458932438426,-2.9712152,6.483636295055805,4.151378011744027
longitude,2,484,-2.8839340214403792,-2.9393849349182117,5.267449975539872,2.7864955647094853
longitude,3,311,-2.9823661959191927,-2.9780377020693716,2.7433812916906986,2.0430907832164715
official_station_distance_km,1,1277,38.137749255827664,3.3184495342197473,463.5458118971624,6.086726240615982
official_station_distance_km,2,484,44.49007434550492,1.9712110223078652,638.9421659167008,4.212029624908619
official_station_distance_km,3,311,40.75458643853736,4.331988263670559,254.41005466818416,8.475419897593515
record_pm10,1,1277,25.727420511306857,14.806985681199322,38.128326915067284,14.081538497438647
record_pm10,2,484,29.424491477456037,15.81513277916837,35.403505453227034,20.274054945985085
record_pm10,3,311,41.00591341871893,15.359840541375892,65.5093568517572,21.68600289771055
record_pm25,1,1277,25.727420511306857,14.806985681199322,38.128326915067284,14.081538497438647
record_pm25,2,484,29.424491477456037,15.81513277916837,35.403505453227034,20.274054945985085
record_pm25,3,311,41.00591341871893,15.359840541375892,65.5093568517572,21.68600289771055
official_pm10,1,1277,17.47321848081441,16.6,6.771466002156294,9.4
official_pm10,2,484,19.019008264462812,17.4,6.782071821354765,5.1
official_pm10,3,311,17.79614147909968,17.0,6.6882330249521695,9.4
official_pm25,1,1277,9.911589663273297,8.7,3.726577960961736,3.8
official_pm25,2,484,10.337809917355372,9.7,3.294855142513792,3.749999999999999
official_pm25,3,311,10.614469453376206,8.8,3.4902551005726408,4.5
official_pm25_to_pm10_ratio,1,1277,0.5815365329147155,0.5771812080536912,0.12539259483513862,0.17541494649928385
official_pm25_to_pm10_ratio,2,484,0.563716189894998,0.5627705627705627,0.11860486844916147,0.15558157689305235
official_pm25_to_pm10_ratio,3,311,0.617640989646854,0.595959595959596,0.11383028929451809,0.2126615522841938
official_pm10_minus_record_pm10,1,1277,-8.254202030492443,0.9901328273508145,38.354017533118835,15.431053497129808
official_pm10_minus_record_pm10,2,484,-10.405483212993234,0.1906107000588637,35.57988652962339,18.265432599543455
official_pm10_minus_record_pm10,3,311,-23.209771939619262,-0.35002351316413716,64.57724175836282,20.692298894994785
official_pm25_minus_record_pm25,1,1277,-15.815830848033555,-5.545727907262632,38.093143575547934,14.058187984443915
official_pm25_minus_record_pm25,2,484,-19.08668156010067,-6.249545640456091,35.50912230170214,19.56102952898384
official_pm25_minus_record_pm25,3,311,-30.391443965342745,-5.434308466556331,65.03717411749368,20.759676744244505
abs_pm10_gap,1,1277,16.432292633883428,7.376975938653651,35.62502310013838,11.777822040867433
abs_pm10_gap,2,484,18.969852191399763,8.21072262919042,31.848816527356323,15.628311670157547
abs_pm10_gap,3,311,29.880373274435048,7.833170659315634,61.774403757443125,17.924865904068607
abs_pm25_gap,1,1277,17.31740920978658,6.973582815621654,37.43441506343752,12.421741864281877
abs_pm25_gap,2,484,20.393541006572985,7.2151327791683695,34.77502932891867,17.960487702328027
abs_pm25_gap,3,311,31.63550157608995,6.272027429455386,64.44120516809852,19.112905082397734
official_pm_total,1,1277,27.384808144087707,24.6,10.170532822035417,11.5
official_pm_total,2,484,29.356818181818184,27.2,9.680739109734535,8.700000000000003
official_pm_total,3,311,28.410610932475887,26.9,9.867116289531328,11.699999999999996
record_pm_total,1,1277,51.454841022613714,29.613971362398644,76.25665383013457,28.163076994877294
record_pm_total,2,484,58.848982954912074,31.63026555833674,70.80701090645407,40.54810989197017
record_pm_total,3,311,82.01182683743787,30.719681082751784,131.0187137035144,43.3720057954211
capture_year,1,1277,2025.1111981205952,2025.0,0.31437731879264524,0.0
capture_year,2,484,2025.0971074380166,2025.0,0.2961040079066727,0.0
capture_year,3,311,2025.122186495177,2025.0,0.32750107720929217,0.0
capture_month,1,1277,3.2059514487079093,3.0,1.2296375209947972,1.0
capture_month,2,484,3.440082644628099,3.0,1.145655102116067,1.0
capture_month,3,311,3.8392282958199355,3.0,2.3977222677539087,1.0
capture_dayofyear,1,1277,83.08535630383712,80.0,36.23496038471867,22.0
capture_dayofyear,2,484,90.04752066115702,85.0,32.44059755747321,33.25
capture_dayofyear,3,311,101.96463022508038,84.0,76.0099124296577,22.0
capture_weekday,1,1277,2.208300704776821,2.0,1.4998282367148297,2.0
capture_weekday,2,484,2.1983471074380163,2.0,1.6756389417137274,3.0
capture_weekday,3,311,2.5209003215434085,2.0,1.593409000879403,2.0
