cluster_label,image_id,sensor_id,capture_datetime,collection_datetime,official_station_id,official_station_name,silhouette_value,rank_within_cluster
1,68305572ffdee468dfce08f4,68305572ffdee468dfce08f4,2025-05-16,2025-05-23,STA_ES2019A,VILAMARXANT,0.04236554384704812,1
1,68258cfdffdee468dfce0707,68258cfdffdee468dfce0707,2025-05-13,2025-05-13,STA_ES1621A,L'ALCORA-PM,0.04400264862604753,2
1,6808a7b1ffdee468dfce0338,6808a7b1ffdee468dfce0338,2025-04-03,2025-04-23,STA_ES2054A,SALINAS,0.04817923905481194,3
1,67e669313ac225e47111091e,67e669313ac225e47111091e,2025-03-07,2025-03-14,STA_ES1831A,TORRENT-SANTA EULALIA,0.05151651045683415,4
1,67eb9a213ac225e471110a22,67eb9a213ac225e471110a22,2025-03-25,2025-04-01,STA_ES1572A,PURIFICACIÓN TOMÁS,0.0748817941464288,5
2,67dbcac63ac225e4711105f3,67dbcac63ac225e4711105f3,2025-03-12,2025-03-20,STA_ES1633A,SAN BASILIO,-0.06638068959640514,1
2,67e31b693ac225e47111086f,67e31b693ac225e47111086f,2025-03-12,2025-03-20,STA_ES1627A,ALCANTARILLA,-0.06638068959640514,2
2,67e67a523ac225e47111092d,67e67a523ac225e47111092d,2025-03-18,2025-03-25,STA_ES1346A,MIRANDA DE EBRO 2,-0.06580479800245402,3
2,67eaa7e33ac225e471110a04,67eaa7e33ac225e471110a04,2025-03-18,2025-03-25,STA_ES1163A,MIRANDA DE EBRO 1,-0.06580479800245402,4
2,67cfefc13ac225e471110425,67cfefc13ac225e471110425,2025-02-27,2025-03-06,STA_ES1174A,NNW,-0.06317050046115881,5
3,69974007d9ad5d97847a2bf1,69974007d9ad5d97847a2bf1,2026-02-10,2026-02-17,STA_ES1346A,MIRANDA DE EBRO 2,-0.23424034272519387,1
3,6997401bd9ad5d97847a2bf3,6997401bd9ad5d97847a2bf3,2026-02-10,2026-02-17,STA_ES1346A,MIRANDA DE EBRO 2,-0.23424034272519387,2
3,67d8024b3ac225e471110538,67d8024b3ac225e471110538,2025-03-05,2025-03-12,STA_ES1580A,SANTANDER CENTRO,-0.20991822660381923,3
3,67f7a0e3fc34192f373171e1,67f7a0e3fc34192f373171e1,2025-04-03,2025-04-10,STA_ES1346A,MIRANDA DE EBRO 2,-0.20803087339607115,4
3,67f7a0f7fc34192f373171e3,67f7a0f7fc34192f373171e3,2025-04-03,2025-04-10,STA_ES1346A,MIRANDA DE EBRO 2,-0.20803087339607115,5
