feature,eta_squared,kruskal_wallis_statistic,kruskal_wallis_p_value,cluster_mean_range,cluster_median_range,kruskal_wallis_p_value_bh
aspect_ratio_median,0.8611922639563638,1089.9617165579384,2.0788373282396486e-237,2.198404433047831,2.39258690332755,8.731116778606523e-237
area_median,0.7470458200339677,1534.103385896449,0.0,3.3327625505816596,3.2598510045646627,0.0
circularity_iqr,0.6900279323199876,1186.6591561148782,2.0904428532220796e-258,1.3772449379668636,1.644030677140465,1.4633099972554558e-257
area_iqr,0.6705196596181501,1349.6996056922771,8.250010673561783e-294,2.0732329026293073,2.064445027643406,8.662511207239872e-293
orientation_entropy,0.5845573286249182,1161.7391866282105,5.3894062081492367e-253,1.7951762234475024,1.9086871763056463,2.8294382592783493e-252
circular_variance,0.5200663141902326,1054.606363188037,9.88867135764062e-230,1.6053326993843395,1.623748998541621,3.461034975174217e-229
feret_p90,0.49326810016629796,1006.7741489416821,2.408636680874475e-219,1.9073817198773704,1.8002934637618235,7.225910042623425e-219
eccentricity_iqr,0.4863400588086563,685.7466174663457,1.235987348250696e-149,3.559806532370982,4.0486188482935,2.3596122102967832e-149
feret_iqr,0.4607626544205604,1006.2214982764344,3.175249549357413e-219,1.6956290148662352,1.6307214978023028,8.335030067063209e-219
circularity_median,0.3370756450044534,703.2663399004159,1.9393430425836533e-153,1.0401099923504609,1.0923475807033745,4.072620389425672e-153
solidity_iqr,0.3300080777678661,797.5358936951272,6.565701347823553e-174,1.6872882168626642,1.6802711169973832,1.531996981158829e-173
aspect_ratio_iqr,0.30765300518151145,607.4667361555344,1.2310459790096574e-132,0.9219859638094914,1.2337887302522839,2.1543304632669004e-132
eccentricity_p90,0.20790276008088143,540.3223012397023,4.682772520580722e-118,1.2255300297824732,0.0,7.564478687091935e-118
mean_intensity_median,0.11743923773289383,289.32600081073065,1.4916165328920748e-63,0.4920608557411406,0.9838823652860529,2.0882631460489047e-63
solidity_median,0.10849453616144387,252.6873877448762,1.347816994118984e-55,0.8684512490061432,0.0,1.6649504044999215e-55
num_particles,0.10509694486900789,210.51629354181722,1.9362778707158204e-46,0.7503805608981908,0.8790109829298455,2.258990849168457e-46
mean_intensity_iqr,0.09051075581369564,141.27353030297868,2.103016476239943e-31,0.8269391241355166,0.08333333333333334,2.324386631633621e-31
mean_intensity_p90,0.08732755362916862,275.099072778098,1.8322948371167753e-60,0.7781067222226079,0.0,2.4048869737157677e-60
aspect_ratio_p90,0.04205161119957122,101.22691740803188,1.0443694872660131e-22,0.2652636115962705,0.5637510613814519,1.0443694872660131e-22
circularity_p90,0.030727622355660015,517.0693848482216,5.245775490544508e-113,0.4227113922660224,0.14666521898706933,7.868663235816762e-113
mean_pixel_intensity,0.023335011377340613,116.8345985039245,4.2627443474557914e-26,0.38219359115532225,0.23421954042852555,4.475881564828581e-26
solidity_p90,0.0,,,0.0,0.0,
