cluster_a,cluster_b,rank,feature,standardized_median_delta,higher_cluster
1,2,1,aspect_ratio_median,2.4217161574667148,1
1,2,2,circularity_iqr,2.3931551617538562,1
1,2,3,orientation_entropy,1.4172771237012172,1
1,2,4,circular_variance,1.3942619827978369,1
1,2,5,area_iqr,1.3916201784763718,1
1,2,6,feret_iqr,1.322779215393737,1
1,2,7,aspect_ratio_p90,1.0460240503557958,1
1,2,8,feret_p90,0.872340721288339,1
1,3,1,eccentricity_iqr,2.270839748268058,1
1,3,2,aspect_ratio_iqr,2.1225547934111457,1
1,3,3,circularity_median,-2.0120944623905523,3
1,3,4,area_median,-1.9377581976399072,3
1,3,5,solidity_iqr,-1.748019300601309,3
1,3,6,mean_intensity_median,1.4507257214854763,1
1,3,7,feret_p90,-1.3121140213555393,3
1,3,8,area_iqr,-1.2649840296242783,3
2,3,1,area_median,-2.795229860030852,3
2,3,2,area_iqr,-2.6566042081006502,3
2,3,3,orientation_entropy,-2.4961047363891185,3
2,3,4,aspect_ratio_median,-2.400186799840463,3
2,3,5,mean_intensity_median,2.1993064183261057,2
2,3,6,feret_p90,-2.1844547426438785,3
2,3,7,eccentricity_iqr,2.183502307224062,2
2,3,8,circular_variance,-2.1545040397746673,3
