cluster_label,rank_in_cluster,image_id,sensor_id,capture_datetime,collection_datetime,distance_to_cluster_centroid,membership_strength,official_station_id,official_station_name,record_pm10,record_pm25,official_pm10,official_pm25
1,1,67ebe0473ac225e471110aa4,67ebe0473ac225e471110aa4,2025-03-25,2025-04-01,0.42791606300737295,,STA_ES1268A,PLAZA DE TOROS,16.823279877137416,16.823279877137416,34.6,19.3
1,2,67f516f0fc34192f37316fbf,67f516f0fc34192f37316fbf,2025-04-01,2025-04-08,0.47374789515798515,,STA_ES1268A,PLAZA DE TOROS,13.755477417726226,13.755477417726226,34.6,19.3
1,3,682c6c40ffdee468dfce0803,682c6c40ffdee468dfce0803,2025-05-06,2025-05-13,0.4792909504091361,,STA_ES1387A,ONDA,12.465482743980884,12.465482743980884,15.9,8.5
1,4,67febdebffdee468dfce026f,67febdebffdee468dfce026f,2025-04-08,2025-04-15,0.49002262736896823,,STA_ES1569A,LORCA,15.15387500523168,15.15387500523168,29.9,11.7
1,5,67e17add3ac225e47111077a,67e17add3ac225e47111077a,2025-03-17,2025-03-24,0.5115565281079412,,STA_ES1163A,MIRANDA DE EBRO 1,15.858493944672414,15.858493944672414,11.4,8.7
2,1,69ac0113d9ad5d97847a2d41,69ac0113d9ad5d97847a2d41,2026-02-20,2026-02-27,0.5182579015937961,,STA_ES1244A,MAZARREDO,14.48177693991898,14.48177693991898,19.8,11.8
2,2,67d33a713ac225e4711104c7,67d33a713ac225e4711104c7,2025-03-06,2025-03-13,0.6659591181053945,,STA_ES2132A,EL LAUREDAL,17.88562843198652,17.88562843198652,30.3,17.1
2,3,67b312fc3ac225e471110268,67b312fc3ac225e471110268,2025-02-10,2025-02-17,0.7821461250250041,,STA_ES0333A,ESCUELAS PÚBLICAS,14.980430343215502,14.980430343215502,18.3,11.3
2,4,67f4d05dfc34192f37316ed6,67f4d05dfc34192f37316ed6,2025-03-27,2025-04-04,0.8144061083447334,,STA_ES1831A,TORRENT-SANTA EULALIA,12.801531776637233,12.801531776637233,16.6,8
2,5,67facb21fc34192f37317370,67facb21fc34192f37317370,2025-03-21,2025-03-24,0.8224974242567934,,STA_ES1621A,L'ALCORA-PM,19.72847796590844,19.72847796590844,16.7,7.3
3,1,69aafae3d9ad5d97847a2cfa,69aafae3d9ad5d97847a2cfa,2026-02-25,2026-03-05,1.774281388538179,,STA_ES0905A,GETXO,20.96427118277372,20.96427118277372,18.3,8.6
3,2,67f4c4d3fc34192f37316e6d,67f4c4d3fc34192f37316e6d,2025-03-10,2025-03-17,1.8129802312817844,,STA_ES2103A,ZUMARRAGA,8.758103093385028,8.758103093385028,11.6,6.9
3,3,69b1a1e8d9ad5d97847a2ef4,69b1a1e8d9ad5d97847a2ef4,2026-02-27,2026-03-06,1.8630309872452546,,STA_ES0041A,DIRECCIÓN DE SALUD,30.080956229999202,30.080956229999202,19.8,11.8
3,4,6934407cd9ad5d97847a2999,6934407cd9ad5d97847a2999,2025-11-29,2025-12-06,1.8803759051698583,,STA_ES1346A,MIRANDA DE EBRO 2,11.771704095916164,11.771704095916164,11.4,8.7
3,5,698857f0d9ad5d97847a2b6f,698857f0d9ad5d97847a2b6f,2025-03-19,2025-03-25,1.9778351386351276,,STA_ES1378A,TRUBIA,46.67744232667246,46.67744232667246,18.2,13.6
