feature,random_forest_importance,logistic_abs_mean_coefficient
area_median,0.19426650703210405,1.041300366350772
eccentricity_iqr,0.1466289747648191,1.430586496413848
area_iqr,0.1177973930475926,0.9771295919532929
aspect_ratio_median,0.11076657398051144,1.5051315707206687
circularity_iqr,0.06462957277237906,0.7888915518937005
orientation_entropy,0.06344944692284885,0.5944346588776384
aspect_ratio_iqr,0.05352783217065624,0.22262238937804232
circular_variance,0.04589943868438313,0.9314685461093575
feret_iqr,0.041952689356496466,0.9233997400520638
feret_p90,0.04151755094714228,1.1168902296442706
circularity_median,0.04033623410103357,0.14091738787332667
solidity_iqr,0.02465515072589558,0.6954980552115811
circularity_p90,0.009929153906782283,0.27683043062260565
eccentricity_p90,0.008330842529295487,0.6041242901773829
mean_pixel_intensity,0.007890504331933005,0.18291874016417312
num_particles,0.007204510905110282,0.09409776910045942
mean_intensity_iqr,0.006418814501451074,0.5442045264768146
mean_intensity_median,0.006000369824584364,0.10478590867458558
aspect_ratio_p90,0.0051750250203495786,0.3297114291023365
mean_intensity_p90,0.0032399936704858604,0.35043487270824647
solidity_median,0.00038342080414559786,0.307382052732607
solidity_p90,0.0,0.0
