feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
num_particles,-0.21625549035469338,-0.06073919316726597,-0.3036139547066544,-0.13664418858664892,0.3705055514414829,0.09989106098930908,-0.15347714086750225,-0.09064500111344456,0.15101617780116605,-0.1611419295136751,0.2667118868610316,-0.17457660582412474,-0.10765246701835167,-0.09082801188120868,0.02236918062635658,0.0232796476957961,0.015430220584977327,-0.04817404668447902,0.024890894646488734,0.010991748738943537,0.001052286510925389,-5.344662136592676e-25
mean_pixel_intensity,-0.13042679546790892,0.01704205522725039,0.7784907508055475,0.07307437791957697,-0.3683723877154339,-0.3108889012523725,-0.09074028551269922,0.19087151508010805,-0.14917336357154898,-0.1732745488012806,0.16756623462452028,-0.11716382318535104,-0.05169304300431358,0.02180234890339273,0.013347912710643456,-0.027229315735820037,0.008825244750635102,-0.005469214646032302,0.0057849519150781304,0.0016486526788247575,0.0001349525616216468,-2.8544902055340326e-25
orientation_entropy,0.5473937258979443,0.4010853897328185,0.027584502185812362,-0.09379651485136412,0.18225727167234976,-0.052439383322848636,-0.013395803147410288,-0.029861144483280526,0.07138107554335098,-0.1339314729605919,0.03355696027819579,-0.09987464283239708,0.10395948568698898,0.01490925318018902,0.039042029380280605,0.02886038298120358,0.027602414117486315,0.14204383917117855,-0.0772222568651325,-0.058820011184439774,0.0027726358318411006,2.8103557869331106e-24
circular_variance,0.4707667154976412,0.3793402649456036,0.14688271327357647,-0.04201135439708858,0.12734881770987364,-0.07634425546648667,-0.03858089218164848,-0.1484529779907939,0.03385132819889837,-0.15049045981045678,-0.008187354401098745,-0.03362818480975981,0.29839897008370164,0.06772319086161155,-0.06901761517274593,-0.02159447453050648,-0.03594884793681432,-0.08011682078774847,0.037495616423715086,0.029321013082178247,-0.0029605237908713225,-3.0935019030723098e-24
area_median,1.0767574535170772,0.19051783784631063,0.20414429951275406,-0.03141918364252072,-0.06093480216861546,0.016620261432720447,0.025816906061559588,-0.1267395086960972,0.0988321425567197,-0.14848332226214367,-0.04278429580927355,0.10079584487784103,-0.1749376647361741,0.004770763696886961,-0.10899569904987563,0.05977060783587764,-0.012411244073430108,-0.03782844401706411,-0.08965806626760582,0.04313828857443345,-0.01647173648552249,2.140936816991076e-24
area_iqr,0.6631320428785644,0.3081010236187411,0.022019375981814745,-0.07837451848966727,-0.07223397455771753,0.030493560372663625,0.09384119974319727,0.09176576765527938,0.02018395214291485,-0.019351649959269215,-0.09230166338521323,-0.043647782329553776,-0.041557814302397356,-0.10037455607093457,0.02676510479805699,-0.017129290060705956,-0.026473597731502905,-0.05366051792610906,0.01145242865443863,-0.056956733032323126,0.09234853874801835,-6.683408403679273e-24
solidity_median,-0.40924909026467143,0.11952864142215079,0.21165975528119185,-0.03192225806105233,0.5421768529157122,0.06228683656057226,0.4977831429852483,0.12404598409057856,-0.27871354248773045,-0.09675925599192592,0.005103135977933609,0.01107330896118134,-0.02961544681322302,0.00976003103856943,-0.03859468927354047,0.011223705197504201,-0.008031920720346903,-0.00862226207642168,-0.01267830331317301,0.005076688285261703,1.3517755963476706e-05,-3.9831202735693524e-25
solidity_iqr,0.6518595343992021,0.026511993930697426,-0.4662829490841197,-0.018739449077573852,-0.09895140892347612,-0.0391676529607577,0.083258792162972,0.35018706892709556,-0.010983239251368493,-0.012688429559935337,0.29208187119028056,0.22128845486715917,0.06949320951072978,-0.010680407373974484,-0.0049652449614332505,-0.022003938821686386,-0.010750620928379253,6.069069022076539e-06,-0.0043129661481156895,-0.0015499109833674097,-0.00019842080253317995,-7.145859574935529e-25
solidity_p90,0.0,5.072392438776656e-20,-5.968768598485145e-19,2.2978886926995645e-16,5.60965384142329e-17,9.854119818538787e-17,1.3587347705853326e-16,8.494313801947651e-17,-8.724173026648527e-18,-5.654968140748705e-17,8.668468173048076e-17,0.0,1.061084045641395e-16,2.0855522398583414e-16,-1.0278966981588504e-16,-6.70450322108886e-17,-1.1979251260167637e-16,-1.1607952163782285e-16,1.8247293306034217e-16,6.841837874397803e-17,2.0966336662682788e-16,4.974022843078961e-09
aspect_ratio_median,0.5606060047893465,0.6105712450631979,0.19443984695312036,0.058201030736302575,0.19456690060508072,-0.21027539406795417,-0.042280872212123524,-0.1774686317404378,-0.0685938942357651,0.28717994010653,0.12433248205285305,0.017270445591155033,-0.06515999381340665,0.01386439898419942,-0.11064576878328682,0.016939233149297593,0.08452862112545859,0.025098902971566,0.07108518987746522,-0.012558930860177241,0.006805277442353458,-8.135401317873782e-25
aspect_ratio_iqr,-0.34232614570009845,0.3188383815242177,-0.16735863572205179,0.003150461123853768,-0.12420826935035852,-0.01740318536107097,0.01572453230727068,0.09359242657431939,-0.006162705143008902,0.08455224857605445,0.025327033234610767,-0.11177361602928729,0.02958505333200325,-0.0706219661323411,-0.09423066154626722,0.0498302412319937,-0.09102172555737972,0.07076570672795533,-0.012601901100773428,0.11933171902287795,0.03470111236428132,-2.999281563090989e-24
aspect_ratio_p90,0.08523064939425228,0.21383139040874283,-0.23615006059079338,0.14287379448283957,0.03683687274289593,-0.02967974391819378,-0.027826779854582682,0.14336884564021615,0.005837181042564424,0.09180274174952806,0.021729037210422283,-0.10548864095949033,-0.04963462107184928,0.3039886093946143,0.053774937447270424,0.12006504943903681,-0.058369956357766734,-0.040918637426915254,-0.013927991963645213,-0.01722065496245365,0.007427667112436608,-2.1650258265398766e-24
feret_iqr,0.531487378491506,0.4135613917651676,-0.12763745687817948,-0.05102079331327292,-0.1401304663718003,0.013096184506485952,0.1336215927157551,0.20203186354073596,0.008771262771528877,0.04238453806126724,-0.08708716848952511,-0.1483952146083185,-0.021293317163820984,-0.13784427043859337,-0.024395830082196063,0.03763261671759706,-0.07941746639075195,-0.007914879146799721,0.055809289426366024,-0.04519597006434215,-0.06647901357035495,3.995224710029409e-24
feret_p90,0.6615018826630223,0.29062887596852255,-0.183456906048938,-0.027691355036173673,-0.034840719359795824,0.0691894079963063,0.1133626727659472,0.17145076486925817,-0.003391559299225329,-0.0018162361295121702,-0.09859606579635298,-0.10964766686466422,-0.011305560240151965,0.03901083481913995,0.11652891658516545,-0.0655465289181069,0.16133404476615357,-0.009582232150538824,0.008898620845651442,0.08526779293928688,-0.007607494496961775,1.4396257445137784e-24
eccentricity_iqr,-1.0743019520751742,1.3568515647088957,-0.13780130501508928,-0.1729092394486985,-0.28841092577837923,0.14256704247917315,0.04070646323652858,-0.09111260462385976,0.023733879530686012,-0.09849858392851278,0.022423074941478816,0.0923882821243046,-0.03228460850656698,0.02801039030946603,0.010255144035070867,-0.005830814890754865,0.03010310849913203,-0.012329397001207734,-0.001512220972359573,-0.017313820762039505,-0.004307268751689419,6.318166423567523e-25
eccentricity_p90,-0.39820126021442787,0.3052009728009612,-0.18738101803711935,0.024150043797316577,0.37607069754594413,-0.4351744289319144,-0.35035909080387545,0.3023354294258105,0.03589741643010747,-0.07990990830144429,-0.18250338629048188,0.07756731330335366,-0.04081189824542263,-0.033024108781439396,-0.03725328421778216,-0.016629702868199616,0.01016649481462064,-0.008993222459657788,-0.006226552209383293,0.0018396820997547024,-0.0014388310093741187,2.464370978266977e-25
circularity_median,0.36895898859538734,0.06470090445361144,0.17533119438126,-0.01734766938968515,0.09830404782902756,0.004657843601450267,0.010198559797683044,-0.076666005300568,0.05719751256049128,-0.17272912594259818,-0.04143085294099302,0.1384763881403235,-0.08034364103789209,0.04996910168188016,0.12895509038299208,0.027921412233710557,-0.0779296030400272,0.07170048234150778,0.12241496973766194,0.03551323325745077,0.005098743175941788,-2.4246793580574743e-24
