component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.32795046673638656,0.32795046673638656
PC2,0.20395159224096174,0.5319020589773483
PC3,0.11031407462645888,0.6422161336038072
PC4,0.06237053884684548,0.7045866724506528
PC5,0.059472148500235175,0.764058820950888
PC6,0.04587934283958795,0.8099381637904759
PC7,0.038767551438093066,0.848705715228569
PC8,0.03409087223843833,0.8827965874670073
PC9,0.02301494948311724,0.9058115369501245
PC10,0.019734481951972267,0.9255460189020968
PC11,0.015779153866767915,0.9413251727688646
PC12,0.012549528463494986,0.9538747012323596
PC13,0.010507902736125618,0.9643826039684853
PC14,0.010148424594935517,0.9745310285634208
PC15,0.007244723880856952,0.9817757524442777
PC16,0.0053095134766255,0.9870852659209032
PC17,0.00451541265611107,0.9916006785770143
PC18,0.0028216653913774757,0.9944223439683918
PC19,0.0026192382970087304,0.9970415822654005
PC20,0.0020939212628247293,0.9991355035282252
PC21,0.0008644964717748714,1.0
PC22,1.4408458558556162e-18,1.0
