candidate_id,method,feature_space,k,selection_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,repeat_mean_ari,bootstrap_mean_ari,smallest_cluster_fraction,noise_fraction,cluster_entropy,eligible_for_final_selection,exclusion_reasons
pca_scores__kmeans__k-3,kmeans,pca_scores,3,0.7973310313599257,0.37022903569678595,763.9384787473158,1.1446471704525476,1.0,0.9955033435907067,0.1500965250965251,0.0,0.8398180761803178,true,
pca_scores__fuzzy__k-3,fuzzy,pca_scores,3,0.7965307805824036,0.3492709653725425,746.2032093641126,1.1792232738870716,1.0,0.9960063189246081,0.16602316602316602,0.0,0.8789058477465403,true,
pca_scores__kmeans__k-2,kmeans,pca_scores,2,0.7618067778546121,0.46018284489275374,741.1852749922607,1.3774066405630216,0.9989093668576176,0.9894222237608595,0.1891891891891892,0.0,0.6997722217704216,true,
pca_scores__kmeans__k-4,kmeans,pca_scores,4,0.749921651930193,0.35657464045751225,714.5050719005314,1.0309066403235607,0.9986401764124704,0.9916854897409678,0.03185328185328185,0.0,0.7411857953130169,true,
selected_features__kmeans__k-3,kmeans,selected_features,3,0.7440383444574916,0.31516529016538486,627.1790518779261,1.3035147517032284,1.0,0.9924675191011331,0.15106177606177607,0.0,0.8406294390878926,true,
selected_features__fuzzy__k-3,fuzzy,selected_features,3,0.7396521037129751,0.2886813304904893,607.3208976630374,1.3667320016877296,1.0,0.9843857877419934,0.1751930501930502,0.0,0.8913801337147541,true,
selected_features__kmeans__k-2,kmeans,selected_features,2,0.7203691586169059,0.4207139516874373,628.3275588705374,1.516352801456088,1.0,0.9899835066658529,0.18870656370656372,0.0,0.6987578362970025,true,
pca_scores__fuzzy__k-4,fuzzy,pca_scores,4,0.7008467807412498,0.19838299805371803,582.7841432258473,1.5730682044555004,1.0,0.9754416270371024,0.14575289575289574,0.0,0.9689030209262126,true,
selected_features__kmeans__k-4,kmeans,selected_features,4,0.6979919549581244,0.3018482982236567,574.8300160921882,1.1741632922150675,1.0,0.9921591388950372,0.03185328185328185,0.0,0.7383634654058057,true,
selected_features__fuzzy__k-4,fuzzy,selected_features,4,0.6622014778110196,0.15834050280577305,474.1768914746548,1.8030990268069307,1.0,0.9884045223084509,0.15733590733590733,0.0,0.976776000003495,true,
selected_features__gmm__k-2__covariance-diag,gmm,selected_features,2,0.6469503194408976,0.3086162713636669,401.260238973409,2.0009373523639704,1.0,0.9887993986608731,0.2504826254826255,0.0,0.8120421720170572,true,
pca_scores__fuzzy__k-6,fuzzy,pca_scores,6,0.61476524371198,0.1735566420290576,429.9594302100944,2.007333871902943,0.9993268758027994,0.9521477430815967,0.07722007722007722,0.0,0.9462145050175845,true,
selected_features__fuzzy__k-5,fuzzy,selected_features,5,0.5153245001851071,0.10943334562216216,364.4055994221023,2.8712319744052164,0.9790155231565654,0.967384702030188,0.05115830115830116,0.0,0.9226424962077651,true,
selected_features__hdbscan__mcs-42,hdbscan,selected_features,,0.8283088675034143,0.5080519007847532,986.2408430987148,0.754568778857146,0.9995585619236398,0.8946929505484765,0.09845559845559845,0.5637065637065637,0.770375258822905,false,"bootstrap_instability,excessive_noise,robustness_only_method"
pca_scores__hdbscan__mcs-42,hdbscan,pca_scores,,0.8020998181988324,0.5594815601979671,881.113275254113,0.6283932911090784,0.9865368699428326,0.9143477578662946,0.029922779922779922,0.5468146718146718,0.5713008792829359,false,"bootstrap_instability,excessive_noise,robustness_only_method"
pca_scores__kmeans__k-7,kmeans,pca_scores,7,0.7551681366579666,0.4122522735236049,760.5847946523921,0.9195779094962511,1.0,0.9898271352010741,0.013996138996138996,0.0,0.6680650862368708,false,tiny_cluster
pca_scores__fuzzy__k-2,fuzzy,pca_scores,2,0.7418217499078641,0.38390378469776826,660.9928224833257,1.5655772155194105,1.0,0.9483119087629402,0.27606177606177607,0.0,0.8500290489230009,false,bootstrap_instability
pca_scores__kmeans__k-6,kmeans,pca_scores,6,0.7398325873926784,0.3957204616103748,725.5823809971484,1.0123707212701738,0.9932756173863476,0.9749600829632421,0.013996138996138996,0.0,0.6716061570095087,false,tiny_cluster
pca_scores__ward__k-3,ward,pca_scores,3,0.7342937330446309,0.3545502176745623,652.6281392463994,1.3092277416389926,1.0,0.8926132261880682,0.18243243243243243,0.0,0.8671768931253816,false,bootstrap_instability
pca_scores__kmeans__k-5,kmeans,pca_scores,5,0.7282604958195084,0.3797229291438923,696.3456563425028,0.933339210308716,0.998367850906188,0.9513690044114386,0.013996138996138996,0.0,0.6779184755527162,false,tiny_cluster
pca_scores__ward__k-7,ward,pca_scores,7,0.7069447563885988,0.40239666504790533,699.6681266618542,0.9487362807615606,1.0,0.9110933140719004,0.015444015444015444,0.0,0.6569764390786018,false,"tiny_cluster,bootstrap_instability"
pca_scores__kmeans__k-8,kmeans,pca_scores,8,0.7041562330213365,0.2848707771007627,747.6421748592477,1.057220152484209,0.9910752781852686,0.9528593883781226,0.013996138996138996,0.0,0.7987720880213526,false,tiny_cluster
pca_scores__ward__k-6,ward,pca_scores,6,0.6965833131427586,0.3894116212256068,642.4958224649373,1.0331025209123146,1.0,0.8952916092284003,0.015444015444015444,0.0,0.6820637838291943,false,"tiny_cluster,bootstrap_instability"
selected_features__kmeans__k-7,kmeans,selected_features,7,0.6863646209588211,0.34606291836519826,552.9994202927134,1.0804932327142158,0.9983267402054381,0.9877992597613594,0.013996138996138996,0.0,0.6695895109326799,false,tiny_cluster
pca_scores__ward__k-5,ward,pca_scores,5,0.6838830001748752,0.36445989554048913,616.332816971725,1.1088490123796788,1.0,0.8836686219519357,0.030405405405405407,0.0,0.7148046349066174,false,bootstrap_instability
pca_scores__ward__k-4,ward,pca_scores,4,0.683518524899429,0.3450192852212123,608.908056543013,1.147544877812462,1.0,0.8875953750023048,0.030405405405405407,0.0,0.7511318896703735,false,bootstrap_instability
selected_features__ward__k-3,ward,selected_features,3,0.6822292951643624,0.3013692089857744,529.9280106246025,1.5003696646592297,1.0,0.8959375530832746,0.17953667953667954,0.0,0.8618276908186076,false,bootstrap_instability
selected_features__kmeans__k-6,kmeans,selected_features,6,0.673969780752835,0.33480726185463533,545.3221677195036,1.1532809471011316,0.9776635984593299,0.9714779508705895,0.013996138996138996,0.0,0.6708615727585568,false,tiny_cluster
selected_features__fuzzy__k-2,fuzzy,selected_features,2,0.6682661311221781,0.24227773916849443,512.2267418297802,1.771309021233398,1.0,0.8887039281487698,0.3735521235521235,0.0,0.9533605124333522,false,bootstrap_instability
pca_scores__gmm__k-2__covariance-diag,gmm,pca_scores,2,0.6633103212719977,0.39592606926495383,464.333104823104,1.9649123969606102,0.9458829839070472,0.9304118690702352,0.2668918918918919,0.0,0.8369692556718646,false,"repeat_instability,bootstrap_instability"
selected_features__kmeans__k-5,kmeans,selected_features,5,0.6631148186882786,0.3203335635868986,542.980675074357,1.0658773933225734,0.9696180267266119,0.9457318454345098,0.013996138996138996,0.0,0.6751064315362864,false,"tiny_cluster,bootstrap_instability"
selected_features__kmeans__k-8,kmeans,selected_features,8,0.6590700054883225,0.24381726245283084,541.9633016310265,1.2329686320705735,0.9990865722150848,0.9876468385009382,0.013996138996138996,0.0,0.7942599570198029,false,tiny_cluster
pca_scores__fuzzy__k-5,fuzzy,pca_scores,5,0.6548535206262581,0.18092790000281253,503.14746270417595,1.6000713765479424,1.0,0.9414439879564643,0.09121621621621621,0.0,0.9500429199672615,false,bootstrap_instability
pca_scores__gmm__k-2__covariance-full,gmm,pca_scores,2,0.6498993786230349,0.37655311569351596,438.1610334736083,1.9346192874184802,0.9770283927696378,0.9374852042078822,0.2384169884169884,0.0,0.7923978612145236,false,bootstrap_instability
selected_features__ward__k-7,ward,selected_features,7,0.6427391130545966,0.3356703502187216,502.6848355839309,1.1278577795162767,1.0,0.9216356848381592,0.015444015444015444,0.0,0.6545102060487723,false,"tiny_cluster,bootstrap_instability"
selected_features__ward__k-6,ward,selected_features,6,0.6367995090251369,0.32575716815511135,483.7299607412806,1.207660886014597,1.0,0.8984533759021917,0.015444015444015444,0.0,0.6785532617741443,false,"tiny_cluster,bootstrap_instability"
selected_features__ward__k-4,ward,selected_features,4,0.6326015914790561,0.287630521953671,486.25682349384715,1.3207266939373494,1.0,0.8938114598546515,0.029922779922779922,0.0,0.7459954576103623,false,bootstrap_instability
selected_features__ward__k-5,ward,selected_features,5,0.6314796840866886,0.3046687862091062,480.7106442584283,1.293520235747279,1.0,0.8949055171935678,0.029922779922779922,0.0,0.7108102232571119,false,bootstrap_instability
pca_scores__ward__k-2,ward,pca_scores,2,0.6174998079108693,0.4096159227783005,563.2239037500569,1.5014129132633176,1.0,0.7693667697307085,0.18243243243243243,0.0,0.6853694854325538,false,bootstrap_instability
selected_features__ward__k-8,ward,selected_features,8,0.5985157265944431,0.23162088446084148,496.7026246395269,1.2807122966586761,1.0,0.8608672702241815,0.015444015444015444,0.0,0.8057964218543969,false,"tiny_cluster,bootstrap_instability"
pca_scores__gmm__k-5__covariance-full,gmm,pca_scores,5,0.5864475359119888,0.3055935294253093,443.5892494975006,1.9320599536447784,0.8601645546580781,0.9209605838471192,0.03185328185328185,0.0,0.8241217441830487,false,"repeat_instability,bootstrap_instability"
pca_scores__ward__k-8,ward,pca_scores,8,0.5858218663426861,0.26604610331521295,690.3214965424349,1.098695900550867,1.0,0.6827512648969611,0.015444015444015444,0.0,0.8082789554629759,false,"tiny_cluster,bootstrap_instability"
