feature,random_forest_importance,logistic_abs_mean_coefficient
longitude,0.3469395031418436,0.16088083425906963
latitude,0.3388533236246685,0.14895207236310284
capture_dayofyear,0.16108010830387282,0.6047521999861927
capture_weekday,0.0840206915160367,0.07412745643143215
capture_month,0.035670234577472676,0.6874412240030965
capture_year,0.013321494333916844,0.22295286040949536
capture_season=autumn,0.008310596732147625,0.4500045347754674
capture_season=spring,0.006407821051180331,0.06438698180833197
capture_season=winter,0.005106708300858104,0.15622656165327875
capture_season=summer,0.00028951841800276923,0.12987186374256607
