variable,cluster_label,count,mean,median,std,iqr
latitude,1,434,41.139395158618925,42.678457996745664,5.787455534420865,3.3521018229975112
latitude,2,1210,41.64736550014209,42.68746374864589,2.3601265360208625,3.3694585874951457
latitude,3,273,42.11460637193937,42.6936235,4.330785119669203,1.6734472000000054
latitude,4,165,41.30295826501864,42.681475408454745,2.6763999881922778,5.21971095275655
longitude,1,434,-2.9488978023640398,-2.9406704068368903,5.530132040330935,2.8468866680835214
longitude,2,1210,-3.6271317462342116,-2.9739258,6.30958332102741,4.179396345874634
longitude,3,273,-3.343013915173269,-3.1858877,5.21713420314623,1.4070779595939542
longitude,4,165,-2.523090510488653,-2.9397068,1.995277712975891,2.501481687033078
capture_year,1,434,2025.0875576036867,2025.0,0.2826504373307955,0.0
capture_year,2,1210,2025.105785123967,2025.0,0.3075624026343936,0.0
capture_year,3,273,2025.1062271062272,2025.0,0.3081280709862724,0.0
capture_year,4,165,2025.2,2025.0,0.4,0.0
capture_month,1,434,3.456221198156682,3.0,1.1556993641063404,1.0
capture_month,2,1210,3.1644628099173553,3.0,1.1847069243280306,1.0
capture_month,3,273,3.9743589743589745,3.0,2.5924803296101975,1.0
capture_month,4,165,3.4606060606060605,3.0,1.0870977190999713,1.0
capture_dayofyear,1,434,90.96774193548387,86.0,32.60889408186298,30.5
capture_dayofyear,2,1210,81.94876033057851,79.0,34.763365622049754,24.0
capture_dayofyear,3,273,107.11355311355311,84.0,82.06558352600251,21.0
capture_dayofyear,4,165,86.87878787878788,85.0,31.90987077811843,30.0
capture_weekday,1,434,2.184331797235023,2.0,1.64698681455862,3.0
capture_weekday,2,1210,2.2016528925619836,2.0,1.4951151021819773,2.0
capture_weekday,3,273,2.63003663003663,3.0,1.6099890787900006,3.0
capture_weekday,4,165,2.16969696969697,2.0,1.6278792391524453,2.0
