feature,eta_squared,kruskal_wallis_statistic,kruskal_wallis_p_value,cluster_mean_range,cluster_median_range,kruskal_wallis_p_value_bh
aspect_ratio_median,0.7843649594509148,986.9346206172977,1.2285526235272535e-213,2.232734359226371,2.455630372641354,4.504692952933263e-213
mean_pixel_intensity,0.6982619090800904,618.5251597706388,9.71152189233141e-134,6.4107707462005665,6.835150918289916,1.6434883202407003e-133
area_median,0.6967435766165293,1416.6995658325711,7.0062106983667725e-307,4.817377614725088,4.81884167930642,1.54136635364069e-305
area_iqr,0.6159167134786503,1252.5911463638329,2.8476037724136313e-271,2.0698691355023326,2.0119820572418052,2.088242766436663e-270
circularity_iqr,0.6124189376261883,1290.7445536964879,1.4999531058856156e-279,1.3984572116118221,1.7508883014365706,1.649948416474177e-278
orientation_entropy,0.5508268524049886,1075.9541738597425,5.994594075680065e-233,1.7440791440980004,1.88192963280235,3.297026741624036e-232
feret_p90,0.49706379228054987,1056.6709219107809,9.144186469959239e-229,1.9145838928543901,1.724257464467427,4.023442046782065e-228
circular_variance,0.48647037077654665,969.1877132449221,8.692676670609439e-210,1.6105867533560287,1.6470029949444036,2.731984096477252e-209
area_percentage,0.47475055233389235,328.13740004611714,8.07522015435855e-71,4.0106032913526315,4.442022322520805,9.869713521993784e-71
eccentricity_iqr,0.4481534432188342,655.5354103993121,9.187416804808955e-142,3.6338896717090123,4.126970547678056,1.837483360961791e-141
feret_iqr,0.43407963165734764,963.8940278761274,1.223139091895067e-208,1.740573248125898,1.5923250256500132,3.3636325027114343e-208
circularity_median,0.3370713245632565,703.5921820275524,3.4923312025440317e-152,0.9756204989769285,1.0,8.536809606218744e-152
aspect_ratio_iqr,0.32379387319192926,628.0190482980997,8.492054120465818e-136,1.003067279608298,1.2862993468657538,1.5568765887520666e-135
solidity_iqr,0.296642206904051,693.0760622895003,6.658878390990901e-150,1.5797316008615163,1.471226836523531,1.4649532460179982e-149
num_particles,0.2629079184829844,493.8520747053887,1.0256514271649456e-106,1.4882315203093834,1.6532310168616526,1.4102707123518002e-106
mean_intensity_p90,0.24574068235520927,561.2847024099418,2.488163078066007e-121,1.7920111575588056,0.20177602806386177,3.649305847830144e-121
eccentricity_p90,0.23934956286975048,607.8678787692345,1.9848359696377272e-131,1.4848894752925472,0.10595029586189872,3.119027952287857e-131
mean_intensity_median,0.23069986760124508,471.34846024456715,7.718126845965203e-102,0.7501514060626923,1.0359709955731957,9.988164153602028e-102
circularity_p90,0.13164106697522462,294.74245257557226,1.3665234369478928e-63,0.8974354085822871,0.0,1.5822902954133495e-63
mean_intensity_iqr,0.12884436047568204,232.1900323831842,4.6483137054935465e-50,1.1512672316372747,1.3325689406622026,4.869661977183715e-50
aspect_ratio_p90,0.11187636210945417,237.81827838162718,2.820294488092849e-51,0.78148830408636,1.176145679950705,3.102323936902134e-51
solidity_median,0.09427158590692644,226.95230439656913,6.305822422433467e-49,0.9147164886685156,0.0,6.305822422433468e-49
