cluster_a,cluster_b,rank,feature,standardized_median_delta,higher_cluster
1,2,1,aspect_ratio_median,-2.4233020692140883,2
1,2,2,circularity_iqr,-2.3656418815429543,2
1,2,3,orientation_entropy,-1.4705021692963316,2
1,2,4,circular_variance,-1.4334168200203206,2
1,2,5,area_iqr,-1.3886587438147147,2
1,2,6,feret_iqr,-1.281192936248333,2
1,2,7,aspect_ratio_p90,-1.087292867341753,2
1,2,8,feret_p90,-0.9475949391032181,2
1,3,1,area_median,-2.928508064133122,3
1,3,2,area_iqr,-2.583583203386012,3
1,3,3,orientation_entropy,-2.474782044159196,3
1,3,4,aspect_ratio_median,-2.2296312178805837,3
1,3,5,aspect_ratio_iqr,2.216997137956933,1
1,3,6,circular_variance,-2.2145591173145913,3
1,3,7,eccentricity_iqr,2.133111226708698,1
1,3,8,circularity_median,-2.0933646544219577,3
1,4,1,mean_pixel_intensity,3.0742137204843325,1
1,4,2,area_percentage,-2.7598658891349297,4
1,4,3,aspect_ratio_median,-2.436489555245702,4
1,4,4,circularity_iqr,-2.3656418815429543,4
1,4,5,mean_intensity_median,2.292589685167261,1
1,4,6,orientation_entropy,-2.073469731987181,4
1,4,7,aspect_ratio_p90,-2.0316277574135473,4
1,4,8,feret_p90,-1.983611556912361,4
2,3,1,eccentricity_iqr,2.2707102141553097,2
2,3,2,aspect_ratio_iqr,2.216997137956933,2
2,3,3,circularity_median,-2.0933646544219577,3
2,3,4,area_median,-2.07197436384443,3
2,3,5,circularity_iqr,1.5435463584217817,2
2,3,6,solidity_iqr,-1.471226836523511,3
2,3,7,mean_intensity_median,1.2199286083894711,2
2,3,8,area_iqr,-1.1949244595712976,3
2,4,1,mean_pixel_intensity,3.289761382859047,2
2,4,2,area_percentage,-2.8324245596564417,4
2,4,3,mean_intensity_median,1.719442263875446,2
2,4,4,num_particles,-1.4964523252155038,4
2,4,5,mean_intensity_iqr,1.1258374405151153,2
2,4,6,feret_p90,-1.036016617809143,4
2,4,7,aspect_ratio_p90,-0.9443348900717945,4
2,4,8,area_median,-0.6077203317778692,4
3,4,1,mean_pixel_intensity,3.3542908961987963,3
3,4,2,area_percentage,-2.8603412257519722,4
3,4,3,eccentricity_iqr,-2.300337709479348,4
3,4,4,num_particles,-2.2436812810442657,4
3,4,5,aspect_ratio_iqr,-2.216997137956933,4
3,4,6,circularity_median,1.775350247555457,3
3,4,7,aspect_ratio_p90,-1.6779375060017347,4
3,4,8,circularity_iqr,-1.5435463584217817,4
