cluster_label,rank_in_cluster,image_id,sensor_id,capture_datetime,collection_datetime,distance_to_cluster_centroid,membership_strength,official_station_id,official_station_name,record_pm10,record_pm25,official_pm10,official_pm25
1,1,69ac0113d9ad5d97847a2d41,69ac0113d9ad5d97847a2d41,2026-02-20,2026-02-27,0.8123538591553031,,,,,,,
1,2,680d6fe5ffdee468dfce03e8,680d6fe5ffdee468dfce03e8,2025-04-25,2025-04-26,0.9067290931249569,,,,,,,
1,3,67ee37893ac225e471110b93,67ee37893ac225e471110b93,2025-03-26,2025-04-02,0.974666406757889,,,,,,,
1,4,67c84ae03ac225e471110390,67c84ae03ac225e471110390,2025-02-26,2025-03-05,0.981977877588636,,,,,,,
1,5,67d018a83ac225e471110449,67d018a83ac225e471110449,2025-02-27,2025-03-07,0.9930139566565475,,,,,,,
2,1,67f4cdc1fc34192f37316ec0,67f4cdc1fc34192f37316ec0,2025-03-27,2025-04-04,0.4228219160699973,,,,,,,
2,2,67ee54683ac225e471110b9e,67ee54683ac225e471110b9e,2025-03-27,2025-04-03,0.4228219160699973,,,,,,,
2,3,67efb2fcfc34192f37316d50,67efb2fcfc34192f37316d50,2025-03-26,2025-04-02,0.49520476797247837,,,,,,,
2,4,69a8658cd9ad5d97847a2c6c,69a8658cd9ad5d97847a2c6c,2026-02-25,2026-03-04,0.5403765938258329,,,,,,,
2,5,67e140c93ac225e471110747,67e140c93ac225e471110747,2025-03-17,2025-03-24,0.5538237036714202,,,,,,,
3,1,69aafae3d9ad5d97847a2cfa,69aafae3d9ad5d97847a2cfa,2026-02-25,2026-03-05,1.4078619377254715,,,,,,,
3,2,67f63042fc34192f373170a7,67f63042fc34192f373170a7,2025-03-25,2025-04-01,1.4113136442037155,,,,,,,
3,3,67f4c4d3fc34192f37316e6d,67f4c4d3fc34192f37316e6d,2025-03-10,2025-03-17,1.4347736904619222,,,,,,,
3,4,6934407cd9ad5d97847a2999,6934407cd9ad5d97847a2999,2025-11-29,2025-12-06,1.5261755661908454,,,,,,,
3,5,67ed96a23ac225e471110b8b,67ed96a23ac225e471110b8b,2025-03-25,2025-04-01,1.7675896912837383,,,,,,,
4,1,67f61d31fc34192f37317060,67f61d31fc34192f37317060,2025-03-26,2025-04-09,1.7878823109994508,,,,,,,
4,2,680cbfbdffdee468dfce03e1,680cbfbdffdee468dfce03e1,2025-04-05,2025-04-21,2.44898582359304,,,,,,,
4,3,6811eab8ffdee468dfce044e,6811eab8ffdee468dfce044e,2025-03-20,2025-03-30,2.5684757774957068,,,,,,,
4,4,69b1b405d9ad5d97847a2f5a,69b1b405d9ad5d97847a2f5a,2026-03-07,2026-03-11,2.805361899312407,,,,,,,
4,5,67e47adf3ac225e4711108cc,67e47adf3ac225e4711108cc,2025-03-12,2025-03-20,2.937098938502899,,,,,,,
