feature,random_forest_importance,logistic_abs_mean_coefficient
mean_pixel_intensity,0.1852536808083537,1.4705271195698213
area_median,0.12692017610358683,1.1054028406079972
eccentricity_iqr,0.10104257045543362,1.0894640801351325
aspect_ratio_median,0.08062791136011432,0.9446143699801894
area_percentage,0.0654942731890281,0.8699964088107452
area_iqr,0.06096145406977227,0.6092000451937067
aspect_ratio_iqr,0.060367599370394175,0.23031100241178287
orientation_entropy,0.04724121385927496,0.2301160159361151
num_particles,0.03910683049618642,0.41840176404195806
feret_p90,0.039090224364986575,0.5516148259314384
feret_iqr,0.03423784547878805,0.6761375279029256
circularity_iqr,0.03133988847967009,0.5578246112985319
mean_intensity_median,0.029466619231661318,0.32273617342692174
circular_variance,0.028431364131932094,0.4383122657509093
mean_intensity_iqr,0.014506057033151847,0.5268971791644836
circularity_median,0.013650660098625547,0.09131108301855331
mean_intensity_p90,0.011444927921062848,0.39849090850075675
solidity_iqr,0.011070934164923935,0.4879449894257201
aspect_ratio_p90,0.01031691525942938,0.16791916214338318
eccentricity_p90,0.007129439870720138,0.5243064280410856
circularity_p90,0.0014022468268473645,0.22030609900302198
solidity_median,0.0008971674260562024,0.27349229401291314
