component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.2974630157720038,0.2974630157720038
PC2,0.2404634117441925,0.5379264275161963
PC3,0.16137098117258,0.6992974086887763
PC4,0.05970824706558899,0.7590056557543653
PC5,0.040689057531781446,0.7996947132861467
PC6,0.03788532492680871,0.8375800382129555
PC7,0.02968000362125173,0.8672600418342072
PC8,0.02612065982567568,0.8933807016598829
PC9,0.022508854610236845,0.9158895562701198
PC10,0.018018656051576824,0.9339082123216966
PC11,0.014240699733148236,0.9481489120548449
PC12,0.00980419920218315,0.957953111257028
PC13,0.009122805703080848,0.9670759169601089
PC14,0.008247653952650938,0.9753235709127598
PC15,0.00611558060418028,0.9814391515169401
PC16,0.005185133681837641,0.9866242851987777
PC17,0.003964607883247373,0.990588893082025
PC18,0.003378716886938119,0.9939676099689632
PC19,0.002246778253022814,0.9962143882219859
PC20,0.0016227916354292007,0.9978371798574152
PC21,0.0015480574044811212,0.9993852372618963
PC22,0.0006147627381037241,1.0
