feature,random_forest_importance,logistic_abs_mean_coefficient
official_pm25_minus_record_pm25,0.07926401359313444,0.13853438795706635
abs_pm25_gap,0.07594183771255063,0.5299886531719745
official_pm10_minus_record_pm10,0.0729140678707999,0.13677180627975438
record_pm10,0.07107610088455936,0.14527001627046346
record_pm25,0.07089299273006365,0.14527001627046346
record_pm_total,0.06912177071263484,0.14527001627046346
abs_pm10_gap,0.06736555253815797,0.2527708929490421
official_station_distance_km,0.05772175935855352,0.03772919381939126
longitude,0.05519462754961627,0.1002804888858034
latitude,0.05339743674361288,0.09603029909631275
capture_dayofyear,0.04809576952909116,0.5504876345133797
official_pm25_to_pm10_ratio,0.025995738169452776,0.11722520136435037
capture_weekday,0.024863096103076545,0.11473424264795332
official_pm10,0.023246626021799107,0.05533663661663107
official_pm25,0.022770851467569145,0.08583931869316921
capture_month,0.021551741007913416,0.21718053281279182
official_pm_total,0.020483084491040308,0.0682076537079068
capture_year,0.008495808681450065,0.5446878933076206
station_distance_band=under_1km,0.006590893193622839,0.16622481301356298
official_station_id=STA_ES1633A,0.005967885098219595,0.28958053153157803
station_distance_band=3_to_10km,0.005930595549992886,0.10601035760652217
station_distance_band=1_to_3km,0.0054544830535614135,0.12539682955503514
capture_season=spring,0.005267157012828274,0.22657202295186515
capture_season=winter,0.005251117343468619,0.21916449122364756
official_station_id=STA_ES1378A,0.005147508351917967,0.1111221418923889
capture_season=autumn,0.004586321206620723,0.462229758463378
station_distance_band=over_10km,0.004585990482096353,0.23485822617979318
official_pm25_band=moderate,0.004008804961315623,0.03218528087815922
official_station_id=STA_ES0104A,0.0038584723296603302,0.15432672316016285
official_station_id=STA_ES1621A,0.0037118059779540895,0.2836226006626863
official_pm25_band=low,0.003390382124877909,0.03218528087815922
official_pm10_band=low,0.0032948114689463127,0.029165149057444884
official_station_id=STA_ES1346A,0.003165305992234328,0.2950098733253889
official_pm10_band=moderate,0.0030781721672927145,0.02916514905744504
official_station_id=STA_ES1569A,0.003024481961435643,0.18768496511836785
official_station_id=STA_ES1244A,0.00249327073734826,0.1278659416105936
official_station_id=STA_ES1868A,0.0024889893175983773,0.2384376906090444
official_station_id=STA_ES1580A,0.0022963922424493704,0.09332488871840029
official_station_id=STA_ES1593A,0.0021532406621363642,0.23554701746479823
official_station_id=STA_ES0333A,0.0019829534884445717,0.150375765410152
official_station_id=STA_ES0041A,0.0016572470040707755,0.198724745248681
official_station_id=STA_ES0905A,0.0015877867560155261,0.201764252027628
official_station_id=STA_ES1387A,0.0015540923015324737,0.13544215314651148
official_station_id=STA_ES2173A,0.0014954760230485745,0.15301553116195182
official_station_id=STA_ES1831A,0.0014178359711245873,0.21083804591487385
official_station_id=STA_ES1037A,0.001408862738874624,0.14484481849614314
official_station_id=STA_ES2103A,0.0013598246806342839,0.10108272253844906
official_station_id=STA_ES2058A,0.0013076600862722658,0.07983902077413532
official_station_id=STA_ES1268A,0.0012587655549802963,0.06320442062770579
official_station_id=STA_ES1747A,0.0011130227117812604,0.12712301472955145
official_station_id=STA_ES1598A,0.0011016603580635419,0.08459157544672452
official_station_id=STA_ES1836A,0.0010886177273764645,0.07494150268866263
official_station_id=STA_ES1662A,0.001079016351722243,0.2400647432314671
official_station_id=STA_ES1578A,0.001057517326851022,0.1770145381901294
official_station_id=STA_ES1163A,0.0010544566584023611,0.28231841391999773
official_station_id=STA_ES1894A,0.0010051917764285383,0.18087832190042166
official_station_id=STA_ES1577A,0.0010013194148874266,0.10470371437832231
official_station_id=STA_ES1174A,0.0009594553543336854,0.2293514566476919
official_station_id=STA_ES1712A,0.0008946219565131566,0.10767589781174554
official_station_id=STA_ES1271A,0.0008565886312636778,0.15694344821267475
official_station_id=STA_ES1572A,0.0008442566530357411,0.09299312644069217
official_station_id=STA_ES0805A,0.0007887036483633374,0.13779130702176726
official_station_id=STA_ES2054A,0.0007249185755000749,0.21010558532446028
official_station_id=STA_ES1090A,0.0007069773343503611,0.11355241036602041
official_station_id=STA_ES1044A,0.000702890393683343,0.19977391854900395
official_station_id=STA_ES1818A,0.0006888983119318006,0.23430566371421935
official_station_id=STA_ES1837A,0.0006858938393110673,0.1749858025324287
official_station_id=STA_ES2129A,0.000654543354817318,0.13789257568076543
official_station_id=STA_ES1353A,0.0005946567733337192,0.1648061644142468
official_station_id=STA_ES1882A,0.0005733929095744326,0.21225976234803232
official_station_id=STA_ES0110A,0.000551189036540286,0.19553471283842871
official_station_id=STA_ES2051A,0.0005416301609598324,0.0861791000894046
official_station_id=STA_ES2125A,0.0005314130684671631,0.12264897923373866
official_station_id=STA_ES2128A,0.0005227201193980162,0.1377533380034816
official_station_id=STA_ES1613A,0.0004384650769732983,0.13914540635698366
official_station_id=STA_ES2019A,0.00042655032302978336,0.08913579243125413
official_station_id=STA_ES1269A,0.00042176757387234816,0.17176591643372585
official_station_id=STA_ES1358A,0.0004193483142220638,0.11160254004241253
official_station_id=STA_ES1532A,0.0004136926247663112,0.0802772244141706
official_station_id=STA_ES2127A,0.0003827895301009789,0.06233445133552811
official_station_id=STA_ES1417A,0.000379375600930791,0.10602631001611137
official_station_id=STA_ES2132A,0.000366828330124105,0.08589475115327733
official_station_id=STA_ES2063A,0.00036071003694661166,0.09580141416448194
official_station_id=STA_ES1442A,0.0003525106938207678,0.1044723293749539
official_station_id=STA_ES2161A,0.00033219764514854017,0.10355320020087175
official_station_id=STA_ES1496A,0.00032872045216029104,0.25120494180955305
official_station_id=STA_ES1038A,0.0003159731483913676,0.10726233219992465
official_station_id=STA_ES2170A,0.0003105658811580171,0.09426461615922581
official_station_id=STA_ES1529A,0.0002828431307802126,0.09312073523185466
official_station_id=STA_ES1963A,0.0002788473755215212,0.12841981438105984
official_station_id=STA_ES1601A,0.00026678822017077344,0.1511937167429856
official_station_id=STA_ES1611A,0.00025605459221170136,0.16860207714124115
official_station_id=STA_ES0010R,0.0002300141352071182,0.09599589821353319
official_station_id=STA_ES2150A,0.00022646198487681637,0.05647899671147291
official_station_id=STA_ES0587A,0.00022179111216370017,0.07334631321299741
official_station_id=STA_ES1258A,0.000215528589307509,0.21933018738170965
official_station_id=STA_ES2015A,0.00019290693577952566,0.06142497184247972
official_station_id=STA_ES2158A,0.00019285874087096195,0.10978425560210602
official_station_id=STA_ES0120A,0.00018595801307473586,0.08174307667874255
official_station_id=STA_ES2075A,0.0001806940939398744,0.08088793289556045
official_station_id=STA_ES1673A,0.0001726317859955868,0.12792306947292073
official_station_id=STA_ES1985A,0.0001672611732623647,0.14693427884506782
official_station_id=STA_ES1976A,0.0001438327140839207,0.05933720197605461
official_station_id=STA_ES1492A,0.0001385527649419548,0.059938110784836414
official_station_id=STA_ES1594A,0.00013823788123418985,0.05561920802113435
official_station_id=STA_ES1687A,0.00013805314648675083,0.09135991357055379
official_station_id=STA_ES1941A,0.0001373969175172369,0.01846546160165028
official_station_id=STA_ES1137A,0.0001340520683189322,0.05108982986643919
official_station_id=STA_ES2024A,0.00013153552938769696,0.06572287864414227
official_station_id=STA_ES1494A,0.00012782776973372062,0.12769392642039284
official_station_id=STA_ES1741A,0.00011729232225168056,0.03300676263777378
capture_season=summer,0.00011359885467221072,0.08065794046083474
official_station_id=STA_ES1564A,9.393598863465391e-05,0.058400724678991905
official_station_id=STA_ES1160A,9.043386000426079e-05,0.064777436506996
official_station_id=STA_ES1641A,7.279390831770457e-05,0.08321434963676158
official_station_id=STA_ES0825A,7.012188319413689e-05,0.07331051684966503
official_station_id=STA_ES1834A,6.416432281717737e-05,0.06396983177317161
official_station_id=STA_ES1627A,5.818371438059673e-05,0.0469802360468529
official_station_id=STA_ES1918A,5.735062116260701e-05,0.058935929566197635
official_station_id=STA_ES2005A,4.6204271716019564e-05,0.03992596242475059
official_station_id=STA_ES1709A,4.240929293417818e-05,0.05282725567361464
official_station_id=STA_ES2136A,4.1531340256588136e-05,0.02686441251382396
official_station_id=STA_ES1443A,3.99800796828263e-05,0.05019033939212906
official_station_id=STA_ES1797A,2.507913408934416e-05,0.05549309665921931
official_station_id=STA_ES0824A,2.4586073700763975e-05,0.047847285958388136
official_station_id=STA_ES2131A,2.39916481229636e-05,0.05401838823547854
official_station_id=STA_ES1363A,2.07156521569267e-05,0.04260320058477177
official_station_id=STA_ES1713A,2.0604045548293162e-05,0.039850648909407135
official_station_id=STA_ES1624A,1.88287629627051e-05,0.03783434383390279
official_station_id=STA_ES2006A,1.6444149741955472e-05,0.016177376100788596
official_station_id=STA_ES2109A,1.5851478928936712e-05,0.058110409628331486
official_station_id=STA_ES1490A,1.3995465598278904e-05,0.03505876547012175
official_station_id=STA_ES1175A,9.265770071487375e-06,0.04229945380290208
