cluster_label,image_id,sensor_id,capture_datetime,collection_datetime,official_station_id,official_station_name,silhouette_value,rank_within_cluster
1,67f7999ffc34192f373171ac,67f7999ffc34192f373171ac,2025-04-04,2025-04-10,STA_ES1836A,LAS FUENTES,-0.08779524708588263,1
1,67f79b8efc34192f373171bf,67f79b8efc34192f373171bf,2025-04-04,2025-04-10,STA_ES1836A,LAS FUENTES,-0.08779524708588263,2
1,67dc0cfe3ac225e471110654,67dc0cfe3ac225e471110654,2025-03-10,2025-03-17,STA_ES2103A,ZUMARRAGA,-0.08138942413556342,3
1,67dc10e83ac225e471110680,67dc10e83ac225e471110680,2025-03-10,2025-03-17,STA_ES2103A,ZUMARRAGA,-0.08138942413556342,4
1,67dbcac63ac225e4711105f3,67dbcac63ac225e4711105f3,2025-03-12,2025-03-20,STA_ES1633A,SAN BASILIO,-0.07902665360942156,5
2,681b26dfffdee468dfce05e0,681b26dfffdee468dfce05e0,2025-04-30,2025-05-06,STA_ES2125A,ZELAIETA,-0.1863382726174109,1
2,67f39a9efc34192f37316e01,67f39a9efc34192f37316e01,2025-03-31,2025-04-07,STA_ES1633A,SAN BASILIO,-0.17843249330384975,2
2,67ed07ff3ac225e471110b49,67ed07ff3ac225e471110b49,2025-03-26,2025-04-02,STA_ES1613A,COLMENAR VIEJO,-0.16913442052823627,3
2,67d8024b3ac225e471110538,67d8024b3ac225e471110538,2025-03-05,2025-03-12,STA_ES1580A,SANTANDER CENTRO,-0.1643264289560763,4
2,68301fa0ffdee468dfce08b7,68301fa0ffdee468dfce08b7,2025-05-13,2025-05-20,STA_ES1037A,BARREDA,-0.1469779454340636,5
3,67dc0c2f3ac225e471110646,67dc0c2f3ac225e471110646,2025-03-10,2025-03-17,STA_ES2103A,ZUMARRAGA,-0.1563059757231765,1
3,67dc0dda3ac225e471110660,67dc0dda3ac225e471110660,2025-03-10,2025-03-17,STA_ES2103A,ZUMARRAGA,-0.1563059757231765,2
3,67e12ec53ac225e471110726,67e12ec53ac225e471110726,2025-03-13,2025-03-19,STA_ES1578A,CASTRO URDIALES,-0.1532245729402924,3
3,67ed96e63ac225e471110b8d,67ed96e63ac225e471110b8d,2025-03-25,2025-04-01,STA_ES1387A,ONDA,-0.14967473134630005,4
3,67f631c6fc34192f373170bb,67f631c6fc34192f373170bb,2025-03-25,2025-04-01,STA_ES1387A,ONDA,-0.14967473134629994,5
4,67dbf0d73ac225e47111063f,67dbf0d73ac225e47111063f,2025-03-13,2025-03-17,STA_ES1712A,BARAKALDO,0.060316923748338754,1
4,67f6b7eefc34192f37317116,67f6b7eefc34192f37317116,2025-04-01,2025-04-08,STA_ES1572A,PURIFICACIÓN TOMÁS,0.06094274759070038,2
4,67e1400c3ac225e471110741,67e1400c3ac225e471110741,2025-03-14,2025-03-17,STA_ES1712A,BARAKALDO,0.0650864053453827,3
4,6818911cffdee468dfce053e,6818911cffdee468dfce053e,2025-04-24,2025-05-05,STA_ES2158A,LAS ROZAS,0.06945720941665773,4
4,6818915cffdee468dfce0543,6818915cffdee468dfce0543,2025-04-24,2025-05-05,STA_ES2158A,LAS ROZAS,0.06945720941665773,5
