feature,eta_squared,kruskal_wallis_statistic,kruskal_wallis_p_value,cluster_mean_range,cluster_median_range,kruskal_wallis_p_value_bh
aspect_ratio_median,0.7889429503338702,1010.3548662293358,1.0205508615228268e-218,2.2014896864360933,2.5912770779049095,7.654131461421202e-218
area_median,0.7008167497006467,1419.2084764480808,2.0001559239538515e-307,4.7974457682526825,4.81884167930642,9.000701657792331e-306
mean_pixel_intensity,0.6995509761393311,610.9004431256075,4.368061376657546e-132,6.601616576591368,6.981826629139437,1.6380230162465794e-131
area_iqr,0.6162196439848444,1255.5066929247823,6.635607847270631e-272,2.0485330437018754,2.0119820572418052,9.953411770905947e-271
circularity_iqr,0.604403004798246,1271.5779192310545,2.1618017904847222e-275,1.3686602581390634,1.7478534115599347,4.864054028590625e-274
orientation_entropy,0.5526538871264957,1083.5688700757485,1.3359126122449392e-234,1.7261901220621891,1.8389683363068134,1.5029016887755567e-233
feret_p90,0.5013556605850407,1059.4885304968311,2.2381351340978792e-229,1.893198283800527,1.7380820462135553,2.014321620688091e-228
circular_variance,0.48866218981986853,975.4753790717418,3.76015343191357e-211,1.593147630783983,1.6155355995540928,2.417241491944438e-210
eccentricity_iqr,0.43667004342016696,631.3441244562516,1.6148220765777403e-136,3.5983726756192986,4.143898600690034,6.606090313272573e-136
feret_iqr,0.4353660345874408,961.9799174700705,3.181917330035809e-208,1.7716880565384092,1.6304139749385602,1.7898284981451425e-207
area_percentage,0.41948458656910004,282.63064786791637,5.709694048344725e-61,3.835884031793607,4.26065835664497,1.4274235120861813e-60
circularity_median,0.34316367114799007,709.7780624223094,1.5913437044750177e-153,0.9781038294986846,1.0,7.956718522375088e-153
aspect_ratio_iqr,0.3152258958778057,600.9970020305932,6.127117819794303e-130,0.9908472481407178,1.2936222064224847,1.969430727791026e-129
solidity_iqr,0.29353192948882445,675.1287590389982,5.187139247004046e-146,1.5795340295130322,1.4997883100684295,2.3342126611518208e-145
num_particles,0.2456588433456428,469.550122094321,1.8931695846813252e-101,1.4270201878499196,1.6007614635470877,5.324539456916227e-101
mean_intensity_p90,0.2406298936283833,517.8334202933921,6.512876908742755e-112,1.800786957989786,0.20276436369517153,1.9538630726228267e-111
eccentricity_p90,0.23717351468387474,609.9939121584835,6.867805893393313e-132,1.4784559919408335,0.13886444174601797,2.3773174246361467e-131
