cluster_a,cluster_b,rank,feature,standardized_median_delta,higher_cluster
1,2,1,mean_pixel_intensity,3.1193536210455344,1
1,2,2,area_percentage,-2.6315675337946285,2
1,2,3,aspect_ratio_median,-2.5686178755806095,2
1,2,4,circularity_iqr,-2.363413944383688,2
1,2,5,mean_intensity_median,2.3061160913581706,1
1,2,6,orientation_entropy,-2.117550777126425,2
1,2,7,feret_p90,-2.019198796757631,2
1,2,8,aspect_ratio_p90,-1.9962445478553728,2
1,3,1,area_median,-2.931714977742384,3
1,3,2,area_iqr,-2.5890929176220414,3
1,3,3,orientation_entropy,-2.4228934480443693,3
1,3,4,aspect_ratio_iqr,2.227970585209252,1
1,3,5,aspect_ratio_median,-2.2200696749042486,3
1,3,6,circular_variance,-2.1768765056112165,3
1,3,7,eccentricity_iqr,2.146867407960812,1
1,3,8,circularity_median,-2.092728793954703,3
1,4,1,aspect_ratio_median,-2.42171615746671,4
1,4,2,circularity_iqr,-2.363413944383688,4
1,4,3,orientation_entropy,-1.4350071095841157,4
1,4,4,circular_variance,-1.407202369033405,4
1,4,5,area_iqr,-1.3916201784763718,4
1,4,6,feret_iqr,-1.2873649050728724,4
1,4,7,aspect_ratio_p90,-1.0501115521157596,4
1,4,8,feret_p90,-0.9645953887409089,4
2,3,1,mean_pixel_intensity,-3.4121131454527918,3
2,3,2,area_percentage,2.749725731944325,2
2,3,3,eccentricity_iqr,2.3085506909723916,2
2,3,4,aspect_ratio_iqr,2.227970585209252,2
2,3,5,num_particles,2.1689722328511287,2
2,3,6,roi_v_std,1.9855597387489035,2
2,3,7,aspect_ratio_p90,1.6878652393802387,2
2,3,8,circularity_median,-1.6256269221294697,3
2,4,1,mean_pixel_intensity,-3.340171258524383,4
2,4,2,area_percentage,2.7012170385354355,2
2,4,3,mean_intensity_median,-1.729587068518628,4
2,4,4,roi_v_std,1.6936499124741988,2
2,4,5,roi_h_mean,-1.422912789752945,4
2,4,6,num_particles,1.3919706773178633,2
2,4,7,mean_intensity_iqr,-1.12606624239189,4
2,4,8,roi_s_std,1.1111233150513562,2
3,4,1,eccentricity_iqr,-2.2691351339266754,4
3,4,2,aspect_ratio_iqr,-2.227970585209252,4
3,4,3,circularity_median,2.092728793954703,3
3,4,4,area_median,2.074243315351457,3
3,4,5,circularity_iqr,-1.5764880665071188,4
3,4,6,solidity_iqr,1.499788310068411,3
3,4,7,area_iqr,1.1974727391456699,3
3,4,8,mean_intensity_median,-1.1410470243699282,4
