cluster_label,rank_in_cluster,image_id,sensor_id,capture_datetime,collection_datetime,distance_to_cluster_centroid,membership_strength,official_station_id,official_station_name,record_pm10,record_pm25,official_pm10,official_pm25
1,1,67ebd9df3ac225e471110a91,67ebd9df3ac225e471110a91,2025-03-25,2025-04-01,2.3026847285128156,,STA_ES1346A,MIRANDA DE EBRO 2,31.11078391072028,31.11078391072028,11.4,8.7
1,2,67ebdfb23ac225e471110aa1,67ebdfb23ac225e471110aa1,2025-03-25,2025-04-01,2.3706595096733514,,STA_ES1268A,PLAZA DE TOROS,23.31661441136817,23.31661441136817,34.6,19.3
1,3,67ee37893ac225e471110b93,67ee37893ac225e471110b93,2025-03-26,2025-04-02,2.483875865359237,,STA_ES1894A,JUNTA MUNICIPAL DE MORATALAZ,26.872229982699864,26.872229982699864,23.6,17
1,4,6811ea1affdee468dfce0449,6811ea1affdee468dfce0449,2025-04-22,2025-04-30,2.514491983344515,,STA_ES1569A,LORCA,22.893843047703726,22.893843047703726,29.9,11.7
1,5,68270bb9ffdee468dfce0759,68270bb9ffdee468dfce0759,2025-05-09,2025-05-16,2.5150024703348954,,STA_ES1569A,LORCA,10.91532107721127,10.91532107721127,29.9,11.7
2,1,69b1b405d9ad5d97847a2f5a,69b1b405d9ad5d97847a2f5a,2026-03-07,2026-03-11,3.6831686281369067,,STA_ES2058A,CASTREJANA,109.2150832748815,109.2150832748815,19.8,11.8
2,2,69b1b356d9ad5d97847a2f57,69b1b356d9ad5d97847a2f57,2026-03-07,2026-03-11,4.231580568322972,,STA_ES0110A,ERANDIO,163.49242219456997,163.49242219456997,18.3,11.3
2,3,69b1ad42d9ad5d97847a2f24,69b1ad42d9ad5d97847a2f24,2026-03-07,2026-03-11,4.325251053530558,,STA_ES2058A,CASTREJANA,104.18518807641229,104.18518807641229,19.8,11.8
2,4,67fb7dd0fc34192f37317390,67fb7dd0fc34192f37317390,2025-04-06,2025-04-13,4.486300821274256,,STA_ES1569A,LORCA,107.07954587380729,107.07954587380729,29.9,11.7
2,5,68023451ffdee468dfce02bd,68023451ffdee468dfce02bd,2025-04-03,2025-04-18,4.513969699730357,,STA_ES1346A,MIRANDA DE EBRO 2,135.2534631600606,135.2534631600606,11.4,8.7
3,1,67f4c4d3fc34192f37316e6d,67f4c4d3fc34192f37316e6d,2025-03-10,2025-03-17,2.634622864660665,,STA_ES2103A,ZUMARRAGA,8.758103093385028,8.758103093385028,11.6,6.9
3,2,699eed1ed9ad5d97847a2c1e,699eed1ed9ad5d97847a2c1e,2025-07-09,2025-07-12,2.9699423828788563,,STA_ES1244A,MAZARREDO,18.167476007762815,18.167476007762815,19.8,11.8
3,3,67e58fdb3ac225e471110900,67e58fdb3ac225e471110900,2025-03-19,2025-03-26,2.9865404856241047,,STA_ES1577A,PARQUE DE CROSS,27.891217372044924,27.891217372044924,21,9.7
3,4,67e130123ac225e47111072e,67e130123ac225e47111072e,2025-03-13,2025-03-19,3.136647349556717,,STA_ES1578A,CASTRO URDIALES,9.245916205305535,9.245916205305535,18.8,8.1
3,5,67f63070fc34192f373170ab,67f63070fc34192f373170ab,2025-03-25,2025-04-01,3.1839424106816527,,STA_ES1387A,ONDA,18.81789349032349,18.81789349032349,15.9,8.5
4,1,67f8e384fc34192f373172df,67f8e384fc34192f373172df,2025-03-28,2025-04-02,1.8950466114596227,,STA_ES1578A,CASTRO URDIALES,8.909867172649186,8.909867172649186,18.8,8.1
4,2,6808ad18ffdee468dfce0342,6808ad18ffdee468dfce0342,2025-04-10,2025-04-21,1.906730224258981,,STA_ES1268A,PLAZA DE TOROS,8.703901636504972,8.703901636504972,34.6,19.3
4,3,67efb2fcfc34192f37316d50,67efb2fcfc34192f37316d50,2025-03-26,2025-04-02,1.9877412558873835,,STA_ES1593A,SAN FERNANDO,16.541432301361123,16.541432301361123,9.8,3.4
4,4,67f51050fc34192f37316f9c,67f51050fc34192f37316f9c,2025-03-25,2025-04-01,2.0105416275942942,,STA_ES1346A,MIRANDA DE EBRO 2,20.60654156736535,20.60654156736535,11.4,8.7
4,5,67f3aaadfc34192f37316e25,67f3aaadfc34192f37316e25,2025-03-31,2025-04-07,2.0539292827920876,,STA_ES1662A,FUNES,13.928922079742405,13.928922079742405,11.9,7.7
