feature,random_forest_importance,logistic_abs_mean_coefficient
mean_pixel_intensity,0.1464887938655409,1.2895100323452078
area_median,0.11045170042844248,0.9658408914367044
eccentricity_iqr,0.0727272743681515,0.9410737568313645
aspect_ratio_median,0.07236148216058007,1.0357958491090624
aspect_ratio_iqr,0.05678582258673925,0.14455406702007323
area_iqr,0.05331373496738669,0.48236325161617
area_percentage,0.049919069568128666,0.8390418845550225
orientation_entropy,0.046954485800575825,0.3370202468416859
feret_p90,0.04499467905200467,0.5340463119470171
num_particles,0.03441807570169107,0.2441653416591227
circular_variance,0.029225608869001943,0.48025720443902964
circularity_iqr,0.028734517072061407,0.5950200280968232
roi_v_std,0.02819500916179442,0.34074284081807926
feret_iqr,0.028175059799217483,0.7188698057230044
mean_intensity_median,0.02693048469370174,0.21780263113291543
circularity_median,0.02237738065540903,0.12596477081473575
roi_s_std,0.012769077642657336,0.205239157188957
solidity_iqr,0.01241301928147713,0.3205647591705895
mean_intensity_iqr,0.01163283425707684,0.31186425036673054
mean_intensity_p90,0.011269527669599577,0.3751423143859215
particle_mask_mean_rgb_contrast,0.010440950233411218,0.2625397294164845
aspect_ratio_p90,0.00988013540420907,0.1106817905918605
eccentricity_p90,0.00895808605170194,0.5514840997914636
roi_lab_a_std,0.007398243241790604,0.1468514677407962
roi_h_mean,0.006280199921938076,0.2626938003649948
roi_v_mean,0.006244622086754767,0.12400911224756218
roi_lab_l_mean,0.00623892682321538,0.25312492991976676
roi_lab_b_std,0.005644044184892196,0.3527313104476094
roi_h_std,0.005565110823373081,0.10931343310795687
roi_lab_b_mean,0.005058712290048398,0.19938024316223016
roi_lab_a_mean,0.0050082016368548435,0.24731244406132152
roi_s_mean,0.004794865403900196,0.3221292542782813
capture_month_sin,0.002924248622029141,0.2406087826297459
place_diversity_entropy,0.0026738919007981378,0.35275422035919274
total,0.002215596017009103,0.19546078354571342
transit,0.002052639308636543,0.12336269238689453
parking,0.001591649085408223,0.26249328727459587
gas_station,0.0013452077094429976,0.09876282417972909
season_autumn,0.0011298530207464314,0.18810115409797323
circularity_p90,0.0010607628732125767,0.2061260902996426
green_vs_traffic_ratio_500m,0.0007540024873215507,0.24849988693511033
park,0.00073482021902864,0.21085087155135776
season_winter,0.0007220779579653733,0.3027896486764908
industrial,0.0006215602755824763,0.3762021861162867
solidity_median,0.0005239548194909408,0.33440664397079684
season_summer,0.0,0.0
