component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.17168547449666466,0.17168547449666466
PC2,0.14813362845882172,0.3198191029554864
PC3,0.09251199022373827,0.4123310931792247
PC4,0.07021851450100473,0.4825496076802294
PC5,0.06256127086036725,0.5451108785405967
PC6,0.04399525233301162,0.5891061308736083
PC7,0.0416305171737697,0.630736648047378
PC8,0.036976156373495016,0.667712804420873
PC9,0.03221608339504843,0.6999288878159214
PC10,0.027907420954684296,0.7278363087706058
PC11,0.024332391510807704,0.7521687002814135
PC12,0.021717447966176466,0.7738861482475899
PC13,0.02024477526753232,0.7941309235151223
PC14,0.019229060922671935,0.8133599844377942
PC15,0.01790613873664183,0.831266123174436
PC16,0.017084654666744713,0.8483507778411807
PC17,0.015338697316710682,0.8636894751578914
PC18,0.014409674757405263,0.8780991499152967
PC19,0.013454675687998513,0.8915538256032952
PC20,0.011878429152741128,0.9034322547560364
PC21,0.010684913333326627,0.914117168089363
PC22,0.008872654506373336,0.9229898225957364
PC23,0.008644393776355602,0.931634216372092
PC24,0.007747419782894801,0.9393816361549868
PC25,0.007152154047747964,0.9465337902027348
PC26,0.006106349119712036,0.9526401393224468
PC27,0.005576078308492958,0.9582162176309398
PC28,0.0053811207510870715,0.9635973383820269
PC29,0.005138217089476745,0.9687355554715036
PC30,0.0047420917138180215,0.9734776471853216
PC31,0.004426640348797224,0.9779042875341188
PC32,0.00380734106986916,0.981711628603988
PC33,0.003339972325205113,0.9850516009291931
PC34,0.002736018648719739,0.9877876195779128
PC35,0.0025831681718220417,0.9903707877497349
PC36,0.002075627206396596,0.9924464149561315
PC37,0.0017617111215634186,0.9942081260776949
PC38,0.0015406138912107687,0.9957487399689057
PC39,0.0012097540740081186,0.9969584940429138
PC40,0.0009140364206351026,0.997872530463549
PC41,0.0008606409878107136,0.9987331714513596
PC42,0.0008238013085699507,0.9995569727599296
PC43,0.0003398699803469168,0.9998968427402766
PC44,5.226018952296027e-05,0.9999491029297995
PC45,5.089707020100544e-05,1.0000000000000004
PC46,7.243048805809027e-19,1.0000000000000004
