candidate_id,method,feature_space,k,selection_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,repeat_mean_ari,bootstrap_mean_ari,smallest_cluster_fraction,noise_fraction,cluster_entropy,eligible_for_final_selection,exclusion_reasons
pca_scores__kmeans__k-4,kmeans,pca_scores,4,0.7922556129496859,0.17302971263133338,312.9389646697431,1.8315599584454232,0.9980110625565765,0.9797732195070644,0.07577220077220077,0.0,0.7999193441038314,true,
selected_features__kmeans__k-3,kmeans,selected_features,3,0.7608630215799956,0.2236081267528198,268.072361126408,1.9211856071652127,0.9976560149081687,0.9505867767117897,0.08832046332046332,0.0,0.6493563770279085,true,
pca_scores__kmeans__k-6,kmeans,pca_scores,6,0.7588940699087513,0.16053894146899703,270.7232903439989,1.664508070983647,0.9736640261618149,0.9602408565197453,0.03185328185328185,0.0,0.7983151832457709,true,
pca_scores__kmeans__k-5,kmeans,pca_scores,5,0.7574428640763718,0.15181296111145295,286.66287011083193,1.7457988581335215,0.9991961762865896,0.9624200465185889,0.03185328185328185,0.0,0.754366113671628,true,
selected_features__kmeans__k-4,kmeans,selected_features,4,0.7511591816532666,0.15084214093199858,257.5749831220795,2.0281350445407935,0.9997150225787464,0.9896716939981096,0.07577220077220077,0.0,0.7988712552755266,true,
pca_scores__gmm__k-2__covariance-diag,gmm,pca_scores,2,0.7201852688219892,0.19860909119341771,185.17524878300853,3.2308968679197094,0.9955518084918816,0.9753160369435736,0.36534749034749037,0.0,0.9470326701086406,true,
selected_features__kmeans__k-5,kmeans,selected_features,5,0.7193236337182667,0.12839156072572352,234.47954351435095,1.9339997623642522,0.9954171575876098,0.9809326929606629,0.032335907335907334,0.0,0.7536970090316347,true,
selected_features__kmeans__k-6,kmeans,selected_features,6,0.7161142024396365,0.1342116416610268,218.3357895619193,1.863335983587442,0.9753800785998227,0.9654094813776914,0.03185328185328185,0.0,0.7992775109386551,true,
pca_scores__kmeans__k-3,kmeans,pca_scores,3,0.7987493535831328,0.24542242451725088,322.4418985549459,1.7404347986432998,0.9995622805466517,0.9292754560824892,0.08976833976833977,0.0,0.6549533915322691,false,bootstrap_instability
pca_scores__hdbscan__mcs-42,hdbscan,pca_scores,,0.7581786548162628,0.3201685889326332,196.57200487914878,0.8541722933613878,0.9995809332940658,0.932776405130067,0.03861003861003861,0.5786679536679536,0.44191384275113216,false,"bootstrap_instability,excessive_noise,robustness_only_method"
pca_scores__ward__k-4,ward,pca_scores,4,0.7407634876224013,0.27057815674405644,263.90816225417535,1.5565258736406895,1.0,0.8285015360897571,0.032818532818532815,0.0,0.5614940836924461,false,bootstrap_instability
pca_scores__gmm__k-2__covariance-full,gmm,pca_scores,2,0.740259942115783,0.20402299094126836,231.00188541181393,2.861332602809029,0.9823837734101624,0.9395410226253472,0.33832046332046334,0.0,0.9232024287479709,false,bootstrap_instability
pca_scores__ward__k-3,ward,pca_scores,3,0.7401753937150469,0.2729734701109167,276.1580264762572,1.9581678341323918,1.0,0.8109689599477793,0.07142857142857142,0.0,0.6331063483071414,false,bootstrap_instability
pca_scores__kmeans__k-8,kmeans,pca_scores,8,0.7276335163060393,0.16726823312672354,253.10564046031584,1.5592460568332158,0.9651626119086453,0.9157063764250775,0.020752895752895753,0.0,0.8203723468380477,false,bootstrap_instability
pca_scores__kmeans__k-2,kmeans,pca_scores,2,0.7232801422593852,0.3275432160589327,316.3831334087043,1.7390993386840023,0.9976598232498953,0.6832158436973952,0.11245173745173745,0.0,0.5072671330224713,false,bootstrap_instability
