name,longitude,latitude
EL CIEGO,-2.61944444,42.51833333
LLODIO,-2.96337,43.14407
ARETA,-2.94333333,43.14805555
AGURAIN,-2.3937,42.849
VALDEREJO,-3.2317,42.8752
AVENIDA GASTEIZ,-2.6807,42.8548
TRES MARZO,-2.66779,42.85607
LOS HERRAN,-2.66138888,42.84361111
LANTARÓN,-2.98087,42.7151
ALBACETE,-1.8521,38.9793
ALBACETE - PARQUE TECNOLOGICO,-1.8452,38.9808
AGOST,-0.6380406,38.4360614
ALCOI - VERGE DELS LLIRIS,-0.46694444,38.70638888
ALACANT-EL PLÁ,-0.47194444,38.35944444
ALACANT-FLORIDA-BABEL,-0.50666666,38.34027777
ALACANT - RABASSA,-0.51388888,38.35111111
BENIDORM,-0.14666666,38.57138888
ELX-AGROALIMENTARI,-0.68277777,38.24222222
ELX-PARC DE BOMBERS,-0.7175,38.25916666
ELDA-LACY,-0.80333333,38.45472222
ORIHUELA,-0.85277777,38.08472222
EL PINÓS,-1.06472222,38.45166666
SANT VICENT DEL RASPEIG,-0.5275,38.39722222
TORREVIEJA,-0.69,37.99111111
VILLENA PARQUE FERIA,-0.87241,38.63943
MEDITERRÁNEO,-2.44672,36.84133
EL BOTICARIO,-2.3905,36.86495
PUERTO DE ALMERÍA,-2.4779,36.8368
BÉDAR,-1.979079,37.192993
BENAHADUX,-2.46322,36.9231
CARBONERAS,-1.89201,36.99945
PZA. DEL CASTILLO,-1.8954,36.9968
LLANO DE DON ANTONIO,-1.9344,37.0047
VILLARICOS,-1.7708,37.2522
PALOMARES,-1.7817,37.255
VILLARICOS CC,-1.7699,37.2661
MOJÁCAR,-1.8422,37.1388
RODALQUILAR,-2.03819,36.84745
CAMPOHERMOSO,-2.12819,36.93385
LA JOYA,-1.96148,36.95
FERNÁN PÉREZ,-2.0467,36.8951
LA GRANATILLA,-2.1592,36.9581
EL EJIDO,-2.81097,36.76972
ÁVILA 2,-4.70083,40.66472
BADAJOZ,-7.011389,38.887586
BARCARROTA,-6.923333,38.47278
BURGUILLOS DEL CERRO,-6.588646,38.370314
JEREZ DE LOS CABALLEROS,-6.757417,38.326558
MEDINA DE LAS TORRES,-6.415479,38.338973
MERIDA,-6.339232,38.906223
ZAFRA,-6.397348,38.42795
S'ALBUFERA,3.07525,39.791167
ALCUDIA I,3.145432,39.834823
HOSPITAL JOAN MARCH,2.687778,39.678833
CIUTADELLA DE MENORCA,3.857583,40.010611
MENUT,2.900722,39.83025
CAN MISSES,1.415417,38.915028
DALT VILA,1.434889,38.907194
SA BLANCA DONA,1.425888,38.92324
SANT LLUIS,4.2586,39.8749
POUS,4.252972,39.890917
PORT DE MAO,4.257031,39.892589
MAHÓN,4.323889,39.876111
SON AMETLER,2.7264,39.612
FONERS,2.657028,39.57125
BELLVER,2.621694,39.564528
UIB-PARC BIT,2.648056,39.635556
LA MISERICÒRDIA,2.647611,39.574389
SANT JOAN DE DÉU,2.701111,39.547694
SON LLATZER,2.7031,39.5727
CAN LLOMPART,3.0282,39.8408
SA POBLA,3.016,39.748472
SANT ANTONI DE PORTMANY,1.310139,38.994389
TORRENT-SANTA EULALIA,1.432908,38.935803
AIGUAFREDA (CAN BELLIT),2.2507,41.7711
AIGUAFREDA (CAN BELLIT),2.2507,41.7711
BADALONA (MONT-ROIG - AUSIÀS MARCH),2.237875306,41.443983561
BADALONA (GUÀRDIA URBANA),2.2275,41.4463
BADALONA (ASSEMBLEA DE CATALUNYA),2.248236084,41.45131069
BARCELONA (EL POBLENOU),2.204522594,41.403881851
BARCELONA (PL. DE LA UNIVERSITAT),2.1649,41.3874
BARCELONA (SANTS),2.1331,41.3788
BARCELONA (L'EIXAMPLE),2.1538,41.3853
BARCELONA (GRÀCIA - SANT GERVASI),2.152385,41.399581
BARCELONA (ZONA UNIVERSITÀRIA),2.1196,41.3849
BARCELONA (CIUTADELLA),2.1874,41.3864
BARCELONA (EL PORT VELL),2.186841902,41.374943279
BARCELONA (IES GOYA),2.1706,41.4207
BARCELONA (PARC DE LA VALL D'HEBRON),2.147992032,41.4260772
BARCELONA (IES VERDAGUER),2.1867,41.3872
BARCELONA (PALAU REIAL),2.1151,41.3875
BARCELONA (OBSERVATORI FABRA),2.1237,41.4189
BARCELONA (LA SAGRERA),2.186,41.427
BERGA (IES GUILLEM DE BERGUEDÀ),1.8581,42.1023
BERGA (POLIESPORTIU),1.848237224,42.097910193
CALDES DE MONTBUI (AJUNTAMENT),2.162349596,41.634656545
CASTELLAR DEL VALLÈS (CAL MASAVEU),2.0871,41.6179
CASTELLBISBAL (CEIP MARE DE DÉU DE MONTSERRAT),1.982016549,41.473378006
CASTELLET I LA GORNAL (CLARIANA),1.6177,41.2449
CUBELLES (POLIESPORTIU),1.6722,41.2022
CUBELLES (POLIESPORTIU),1.6722,41.2022
ESPLUGUES DE LLOBREGAT (CEIP ISIDRE MARTÍ),2.0861,41.3793
GAVÀ (PARC DEL MIL·LENI),1.991523957,41.303112534
GRANOLLERS (FRANCESC MACIÀ),2.287117688,41.598666901
L'HOSPITALET DE LLOBREGAT (AV. DEL TORRENT GORNAL),2.114973082,41.370504108
IGUALADA (LA MASUCA),1.6259,41.5776
IGUALADA (VIRTUT-DELICIES),1.6259,41.5776
MANLLEU (HOSPITAL COMARCAL),2.287271914,42.003276504
MANRESA (CEIP LA FONT),1.8385,41.7277
MANRESA (PL. D'ESPANYA),1.825306423,41.730280261
MANRESA (AJUNTAMENT),1.8269,41.723
MANRESA (CEIP LA FONT),1.8385,41.7277
MARTORELL (POLIESPORTIU MUNICIPAL),1.9232,41.4756
MATARÓ (EL CROS),2.422,41.5304
MATARÓ (PABLO IGLESIAS),2.4326,41.5318
MATARÓ (PASSEIG DELS MOLINS),2.443253787,41.547159712
MATARÓ (LABORATORI D'AIGÜES),2.43729,41.551859569
MOLINS DE REI (AJUNTAMENT),2.016,41.4136
MOLLET DEL VALLÈS (AP7 KM. 139),2.2121,41.5492
MONTCADA I REIXAC (PL. DE LLUÍS COMPANYS),2.1883,41.4821
MONTCADA I REIXAC (AJUNTAMENT),2.187268328,41.479955339
MONTCADA I REIXAC (CAN SANT JOAN),2.184233488,41.469800555
MONTORNÈS DEL VALLÈS (CEIP MARINADA),2.265250427,41.55242119
MONTSENY (LA CASTANYA),2.358018901,41.779343452
